word	collection	value
scanderbeg	country	400/368477
scanderbeg	europe	1241/53130550
scanderbeg	asia	49/20757659
scanderbeg	milton	0
scanderbeg	shakespeare	0
scanderbeg	corpus	1318/86396910
sea	country	795/368477
sea	europe	55791/53130550
sea	asia	23473/20757659
sea	milton	240/332927
sea	shakespeare	328/686328
sea	corpus	100931/86396910
pyctes	country	105/368477
pyctes	europe	108/53130550
pyctes	asia	0/20757659
pyctes	milton	0
pyctes	shakespeare	0
pyctes	corpus	108/86396910
antonius	country	320/368477
antonius	europe	3188/53130550
antonius	asia	1099/20757659
antonius	milton	3/332927
antonius	shakespeare	0
antonius	corpus	5123/86396910
pompey	country	327/368477
pompey	europe	7041/53130550
pompey	asia	1808/20757659
pompey	milton	6/332927
pompey	shakespeare	88/686328
pompey	corpus	9765/86396910
turks	country	405/368477
turks	europe	18942/53130550
turks	asia	2887/20757659
turks	milton	9/332927
turks	shakespeare	1/686328
turks	corpus	23458/86396910
venetians	country	327/368477
venetians	europe	14476/53130550
venetians	asia	821/20757659
venetians	milton	1/332927
venetians	shakespeare	1/686328
venetians	corpus	15637/86396910
selfe	country	468/368477
selfe	europe	24284/53130550
selfe	asia	10065/20757659
selfe	milton	33/332927
selfe	shakespeare	1956/686328
selfe	corpus	42136/86396910
army	country	414/368477
army	europe	55091/53130550
army	asia	8134/20757659
army	milton	154/332927
army	shakespeare	67/686328
army	corpus	67382/86396910
rome	country	376/368477
rome	europe	59689/53130550
rome	asia	8960/20757659
rome	milton	117/332927
rome	shakespeare	332/686328
rome	corpus	74847/86396910
