word	collection	value
successoure	country	2/558
successoure	europe	7/53130550
successoure	africa	3/8599577
successoure	milton	0
successoure	shakespeare	0
successoure	corpus	15/86396910
marrocco	country	2/558
marrocco	europe	8/53130550
marrocco	africa	5/8599577
marrocco	milton	0
marrocco	shakespeare	0
marrocco	corpus	14/86396910
gouourned	country	1/558
gouourned	europe	0/53130550
gouourned	africa	1/8599577
gouourned	milton	0
gouourned	shakespeare	0
gouourned	corpus	1/86396910
transtraque	country	1/558
transtraque	europe	0/53130550
transtraque	africa	1/8599577
transtraque	milton	0
transtraque	shakespeare	0
transtraque	corpus	1/86396910
miralmumine	country	1/558
miralmumine	europe	0/53130550
miralmumine	africa	1/8599577
miralmumine	milton	0
miralmumine	shakespeare	0
miralmumine	corpus	1/86396910
visasque	country	1/558
visasque	europe	0/53130550
visasque	africa	1/8599577
visasque	milton	0
visasque	shakespeare	0
visasque	corpus	1/86396910
tunnifium	country	1/558
tunnifium	europe	0/53130550
tunnifium	africa	1/8599577
tunnifium	milton	0
tunnifium	shakespeare	0
tunnifium	corpus	1/86396910
parts	country	7/558
parts	europe	35468/53130550
parts	africa	5082/8599577
parts	milton	112/332927
parts	shakespeare	150/686328
parts	corpus	58178/86396910
signyfieth	country	1/558
signyfieth	europe	0/53130550
signyfieth	africa	1/8599577
signyfieth	milton	0
signyfieth	shakespeare	0
signyfieth	corpus	3/86396910
knowne	country	5/558
knowne	europe	5303/53130550
knowne	africa	1231/8599577
knowne	milton	3/332927
knowne	shakespeare	216/686328
knowne	corpus	9865/86396910
