word	collection	value
world	country	3192/1358538
world	north_america	4692/2762132
world	europe	43862/53130550
world	milton	285/332927
world	shakespeare	762/686328
world	corpus	88403/86396910
god	country	3238/1358538
god	north_america	5025/2762132
god	europe	70256/53130550
god	milton	1015/332927
god	shakespeare	933/686328
god	corpus	273914/86396910
sea	country	3197/1358538
sea	north_america	7508/2762132
sea	europe	55791/53130550
sea	milton	240/332927
sea	shakespeare	328/686328
sea	corpus	100931/86396910
chap	country	2219/1358538
chap	north_america	4499/2762132
chap	europe	20161/53130550
chap	milton	42/332927
chap	shakespeare	0
chap	corpus	51940/86396910
england	country	2126/1358538
england	north_america	3156/2762132
england	europe	79137/53130550
england	milton	268/332927
england	shakespeare	262/686328
england	corpus	92639/86396910
parts	country	2462/1358538
parts	north_america	3943/2762132
parts	europe	35468/53130550
parts	milton	112/332927
parts	shakespeare	150/686328
parts	corpus	58178/86396910
land	country	2066/1358538
land	north_america	4743/2762132
land	europe	31814/53130550
land	milton	218/332927
land	shakespeare	260/686328
land	corpus	75858/86396910
spaniards	country	1760/1358538
spaniards	north_america	5023/2762132
spaniards	europe	21668/53130550
spaniards	milton	10/332927
spaniards	shakespeare	2/686328
spaniards	corpus	34170/86396910
english	country	1710/1358538
english	north_america	2935/2762132
english	europe	46830/53130550
english	milton	260/332927
english	shakespeare	162/686328
english	corpus	59959/86396910
earth	country	1594/1358538
earth	north_america	2351/2762132
earth	europe	14346/53130550
earth	milton	317/332927
earth	shakespeare	373/686328
earth	corpus	41706/86396910
