word	collection	value
congo	country	236/65420
congo	europe	418/53130550
congo	africa	535/8599577
congo	milton	1/332927
congo	shakespeare	0
congo	corpus	1193/86396910
riuer	country	197/65420
riuer	europe	8384/53130550
riuer	africa	2600/8599577
riuer	milton	0
riuer	shakespeare	23/686328
riuer	corpus	18919/86396910
kingdome	country	176/65420
kingdome	europe	27685/53130550
kingdome	africa	4308/8599577
kingdome	milton	57/332927
kingdome	shakespeare	97/686328
kingdome	corpus	43756/86396910
coast	country	191/65420
coast	europe	8208/53130550
coast	africa	2153/8599577
coast	milton	51/332927
coast	shakespeare	29/686328
coast	corpus	18347/86396910
sea	country	207/65420
sea	europe	55791/53130550
sea	africa	11679/8599577
sea	milton	240/332927
sea	shakespeare	328/686328
sea	corpus	100931/86396910
portugals	country	136/65420
portugals	europe	934/53130550
portugals	africa	932/8599577
portugals	milton	1/332927
portugals	shakespeare	0
portugals	corpus	4675/86396910
cape	country	141/65420
cape	europe	2670/53130550
cape	africa	1379/8599577
cape	milton	8/332927
cape	shakespeare	8/686328
cape	corpus	8390/86396910
bamba	country	51/65420
bamba	europe	64/53130550
bamba	africa	108/8599577
bamba	milton	0
bamba	shakespeare	0
bamba	corpus	209/86396910
diaz	country	50/65420
diaz	europe	173/53130550
diaz	africa	109/8599577
diaz	milton	0
diaz	shakespeare	0
diaz	corpus	333/86396910
land	country	135/65420
land	europe	31814/53130550
land	africa	11693/8599577
land	milton	218/332927
land	shakespeare	260/686328
land	corpus	75858/86396910
