word	collection	value
sect	country	36/2568
sect	europe	4589/53130550
sect	antartica	36/2568
sect	milton	8/332927
sect	shakespeare	7/686328
sect	corpus	9263/86396910
morden	country	8/2568
morden	europe	98/53130550
morden	antartica	8/2568
morden	milton	0
morden	shakespeare	0
morden	corpus	236/86396910
islands	country	17/2568
islands	europe	6193/53130550
islands	antartica	17/2568
islands	milton	9/332927
islands	shakespeare	5/686328
islands	corpus	12587/86396910
lerius	country	7/2568
lerius	europe	32/53130550
lerius	antartica	7/2568
lerius	milton	0
lerius	shakespeare	0
lerius	corpus	208/86396910
frauncia	country	4/2568
frauncia	europe	0/53130550
frauncia	antartica	4/2568
frauncia	milton	0
frauncia	shakespeare	0
frauncia	corpus	24/86396910
miles	country	16/2568
miles	europe	11985/53130550
miles	antartica	16/2568
miles	milton	24/332927
miles	shakespeare	26/686328
miles	corpus	20927/86396910
terra	country	12/2568
terra	europe	1269/53130550
terra	antartica	12/2568
terra	milton	18/332927
terra	shakespeare	2/686328
terra	corpus	2981/86396910
land	country	15/2568
land	europe	31814/53130550
land	antartica	15/2568
land	milton	218/332927
land	shakespeare	260/686328
land	corpus	75858/86396910
circle	country	10/2568
circle	europe	1402/53130550
circle	antartica	10/2568
circle	milton	8/332927
circle	shakespeare	12/686328
circle	corpus	2512/86396910
weare	country	10/2568
weare	europe	1505/53130550
weare	antartica	10/2568
weare	milton	0
weare	shakespeare	233/686328
weare	corpus	3150/86396910
