word	collection	value
chap	country	624/53739
chap	south_america	2375/1144424
chap	europe	20161/53130550
chap	milton	42/332927
chap	shakespeare	0
chap	corpus	51940/86396910
vertues	country	519/53739
vertues	south_america	1376/1144424
vertues	europe	6349/53130550
vertues	milton	39/332927
vertues	shakespeare	77/686328
vertues	corpus	13028/86396910
description	country	561/53739
description	south_america	1620/1144424
description	europe	6329/53130550
description	milton	7/332927
description	shakespeare	22/686328
description	corpus	15608/86396910
temperature	country	411/53739
temperature	south_america	1094/1144424
temperature	europe	2442/53130550
temperature	milton	1/332927
temperature	shakespeare	0
temperature	corpus	6644/86396910
names	country	529/53739
names	south_america	1567/1144424
names	europe	12394/53130550
names	milton	73/332927
names	shakespeare	75/686328
names	corpus	25611/86396910
latin	country	333/53739
latin	south_america	487/1144424
latin	europe	3481/53130550
latin	milton	63/332927
latin	shakespeare	1/686328
latin	corpus	5950/86396910
leaued	country	96/53739
leaued	south_america	229/1144424
leaued	europe	473/53130550
leaued	milton	0
leaued	shakespeare	0
leaued	corpus	1311/86396910
philomenes	country	40/53739
philomenes	south_america	40/1144424
philomenes	europe	3/53130550
philomenes	milton	0
philomenes	shakespeare	0
philomenes	corpus	43/86396910
wilde	country	160/53739
wilde	south_america	525/1144424
wilde	europe	2200/53130550
wilde	milton	40/332927
wilde	shakespeare	94/686328
wilde	corpus	6222/86396910
flore	country	91/53739
flore	south_america	249/1144424
flore	europe	588/53130550
flore	milton	5/332927
flore	shakespeare	0
flore	corpus	1620/86396910
