word	collection	value
prince	country	2859/1853037
prince	europe	82012/53130550
prince	asia	11570/20757659
prince	milton	235/332927
prince	shakespeare	499/686328
prince	corpus	101455/86396910
church	country	2588/1853037
church	europe	69388/53130550
church	asia	29208/20757659
church	milton	307/332927
church	shakespeare	98/686328
church	corpus	111163/86396910
rome	country	2114/1853037
rome	europe	59689/53130550
rome	asia	8960/20757659
rome	milton	117/332927
rome	shakespeare	332/686328
rome	corpus	74847/86396910
cyrus	country	1369/1853037
cyrus	europe	3249/53130550
cyrus	asia	1480/20757659
cyrus	milton	5/332927
cyrus	shakespeare	1/686328
cyrus	corpus	5383/86396910
god	country	2376/1853037
god	europe	70256/53130550
god	asia	144408/20757659
god	milton	1015/332927
god	shakespeare	933/686328
god	corpus	273914/86396910
city	country	2182/1853037
city	europe	53215/53130550
city	asia	17037/20757659
city	milton	206/332927
city	shakespeare	52/686328
city	corpus	80122/86396910
emperour	country	1893/1853037
emperour	europe	50263/53130550
emperour	asia	7585/20757659
emperour	milton	126/332927
emperour	shakespeare	58/686328
emperour	corpus	61710/86396910
army	country	2043/1853037
army	europe	55091/53130550
army	asia	8134/20757659
army	milton	154/332927
army	shakespeare	67/686328
army	corpus	67382/86396910
thousand	country	2001/1853037
thousand	europe	41534/53130550
thousand	asia	13252/20757659
thousand	milton	102/332927
thousand	shakespeare	413/686328
thousand	corpus	62157/86396910
death	country	2059/1853037
death	europe	50639/53130550
death	asia	20457/20757659
death	milton	412/332927
death	shakespeare	1069/686328
death	corpus	82622/86396910
