word	collection	value
fondins	country	36/15503
fondins	oceania	0/0
fondins	europe	0/53130550
fondins	milton	0
fondins	shakespeare	0
fondins	corpus	0/86396910
collium	country	30/15503
collium	oceania	0/0
collium	europe	31/53130550
collium	milton	0
collium	shakespeare	0
collium	corpus	32/86396910
hostem	country	33/15503
hostem	oceania	0/0
hostem	europe	113/53130550
hostem	milton	0
hostem	shakespeare	0
hostem	corpus	153/86396910
hostium	country	33/15503
hostium	oceania	0/0
hostium	europe	129/53130550
hostium	milton	0
hostium	shakespeare	0
hostium	corpus	200/86396910
nuportum	country	9/15503
nuportum	oceania	0/0
nuportum	europe	9/53130550
nuportum	milton	0
nuportum	shakespeare	0
nuportum	corpus	9/86396910
verius	country	18/15503
verius	oceania	0/0
verius	europe	40/53130550
verius	milton	0
verius	shakespeare	0
verius	corpus	67/86396910
mque	country	24/15503
mque	oceania	0/0
mque	europe	222/53130550
mque	milton	29/332927
mque	shakespeare	0
mque	corpus	398/86396910
sezains	country	7/15503
sezains	oceania	0/0
sezains	europe	0/53130550
sezains	milton	0
sezains	shakespeare	0
sezains	corpus	0/86396910
sed	country	32/15503
sed	oceania	0/0
sed	europe	3692/53130550
sed	milton	39/332927
sed	shakespeare	16/686328
sed	corpus	9023/86396910
inter	country	31/15503
inter	oceania	0/0
inter	europe	1867/53130550
inter	milton	41/332927
inter	shakespeare	2/686328
inter	corpus	3403/86396910
