word	collection	value
duke	country	6405/1686045
duke	europe	97691/53130550
duke	asia	2931/20757659
duke	milton	147/332927
duke	shakespeare	554/686328
duke	corpus	102038/86396910
emperour	country	4076/1686045
emperour	europe	50263/53130550
emperour	asia	7585/20757659
emperour	milton	126/332927
emperour	shakespeare	58/686328
emperour	corpus	61710/86396910
prince	country	4034/1686045
prince	europe	82012/53130550
prince	asia	11570/20757659
prince	milton	235/332927
prince	shakespeare	499/686328
prince	corpus	101455/86396910
princes	country	3687/1686045
princes	europe	63268/53130550
princes	asia	9855/20757659
princes	milton	161/332927
princes	shakespeare	188/686328
princes	corpus	78390/86396910
france	country	3534/1686045
france	europe	63151/53130550
france	asia	3844/20757659
france	milton	83/332927
france	shakespeare	360/686328
france	corpus	69941/86396910
house	country	3316/1686045
house	europe	38803/53130550
house	asia	21763/20757659
house	milton	175/332927
house	shakespeare	588/686328
house	corpus	68034/86396910
pope	country	2599/1686045
pope	europe	70937/53130550
pope	asia	4533/20757659
pope	milton	75/332927
pope	shakespeare	19/686328
pope	corpus	78256/86396910
french	country	3144/1686045
french	europe	71090/53130550
french	asia	3610/20757659
french	milton	52/332927
french	shakespeare	170/686328
french	corpus	77857/86396910
peace	country	2698/1686045
peace	europe	61753/53130550
peace	asia	11865/20757659
peace	milton	321/332927
peace	shakespeare	652/686328
peace	corpus	78960/86396910
emperor	country	2342/1686045
emperor	europe	32150/53130550
emperor	asia	3470/20757659
emperor	milton	68/332927
emperor	shakespeare	26/686328
emperor	corpus	37489/86396910
