word	collection	value
france	country	217/76932
france	europe	63151/53130550
france	asia	3844/20757659
france	milton	83/332927
france	shakespeare	360/686328
france	corpus	69941/86396910
cum	country	165/76932
cum	europe	4778/53130550
cum	asia	3685/20757659
cum	milton	93/332927
cum	shakespeare	2/686328
cum	corpus	10779/86396910
qui	country	154/76932
qui	europe	7357/53130550
qui	asia	4298/20757659
qui	milton	88/332927
qui	shakespeare	4/686328
qui	corpus	14465/86396910
sed	country	126/76932
sed	europe	3692/53130550
sed	asia	2984/20757659
sed	milton	39/332927
sed	shakespeare	16/686328
sed	corpus	9023/86396910
est	country	138/76932
est	europe	11049/53130550
est	asia	8040/20757659
est	milton	145/332927
est	shakespeare	17/686328
est	corpus	25079/86396910
collium	country	30/76932
collium	europe	31/53130550
collium	asia	1/20757659
collium	milton	0
collium	shakespeare	0
collium	corpus	32/86396910
sea	country	172/76932
sea	europe	55791/53130550
sea	asia	23473/20757659
sea	milton	240/332927
sea	shakespeare	328/686328
sea	corpus	100931/86396910
french	country	149/76932
french	europe	71090/53130550
french	asia	3610/20757659
french	milton	52/332927
french	shakespeare	170/686328
french	corpus	77857/86396910
caesar	country	112/76932
caesar	europe	16959/53130550
caesar	asia	4032/20757659
caesar	milton	105/332927
caesar	shakespeare	540/686328
caesar	corpus	23782/86396910
england	country	123/76932
england	europe	79137/53130550
england	asia	7935/20757659
england	milton	268/332927
england	shakespeare	262/686328
england	corpus	92639/86396910
