word	collection	value
almanzor	country	306/68437
almanzor	europe	348/53130550
almanzor	africa	1299/8599577
almanzor	milton	0
almanzor	shakespeare	0
almanzor	corpus	1712/86396910
zabaim	country	208/68437
zabaim	europe	151/53130550
zabaim	africa	841/8599577
zabaim	milton	0
zabaim	shakespeare	0
zabaim	corpus	1002/86396910
polexander	country	185/68437
polexander	europe	634/53130550
polexander	africa	1644/8599577
polexander	milton	0
polexander	shakespeare	0
polexander	corpus	2662/86396910
axiamira	country	84/68437
axiamira	europe	67/53130550
axiamira	africa	198/8599577
axiamira	milton	0
axiamira	shakespeare	0
axiamira	corpus	275/86396910
zelopa	country	76/68437
zelopa	europe	40/53130550
zelopa	africa	297/8599577
zelopa	milton	0
zelopa	shakespeare	0
zelopa	corpus	339/86396910
himselfe	country	228/68437
himselfe	europe	36997/53130550
himselfe	africa	6808/8599577
himselfe	milton	28/332927
himselfe	shakespeare	551/686328
himselfe	corpus	59839/86396910
abrinzias	country	64/68437
abrinzias	europe	31/53130550
abrinzias	africa	284/8599577
abrinzias	milton	0
abrinzias	shakespeare	0
abrinzias	corpus	375/86396910
almanzaira	country	61/68437
almanzaira	europe	33/53130550
almanzaira	africa	264/8599577
almanzaira	milton	0
almanzaira	shakespeare	0
almanzaira	corpus	301/86396910
selfe	country	238/68437
selfe	europe	24284/53130550
selfe	africa	5640/8599577
selfe	milton	33/332927
selfe	shakespeare	1956/686328
selfe	corpus	42136/86396910
melicerta	country	53/68437
melicerta	europe	40/53130550
melicerta	africa	245/8599577
melicerta	milton	0
melicerta	shakespeare	0
melicerta	corpus	285/86396910
