word	collection	value
chap	country	143/40283
chap	south_america	2375/1144424
chap	europe	20161/53130550
chap	milton	42/332927
chap	shakespeare	0
chap	corpus	51940/86396910
river	country	143/40283
river	south_america	1063/1144424
river	europe	19296/53130550
river	milton	107/332927
river	shakespeare	4/686328
river	corpus	32898/86396910
barreto	country	32/40283
barreto	south_america	32/1144424
barreto	europe	36/53130550
barreto	milton	0
barreto	shakespeare	0
barreto	corpus	132/86396910
conti	country	45/40283
conti	south_america	46/1144424
conti	europe	371/53130550
conti	milton	0
conti	shakespeare	0
conti	corpus	438/86396910
dutch	country	82/40283
dutch	south_america	202/1144424
dutch	europe	10533/53130550
dutch	milton	18/332927
dutch	shakespeare	4/686328
dutch	corpus	14413/86396910
south	country	90/40283
south	south_america	1271/1144424
south	europe	10481/53130550
south	milton	57/332927
south	shakespeare	33/686328
south	corpus	24079/86396910
sea	country	95/40283
sea	south_america	2475/1144424
sea	europe	55791/53130550
sea	milton	240/332927
sea	shakespeare	328/686328
sea	corpus	100931/86396910
coast	country	80/40283
coast	south_america	959/1144424
coast	europe	8208/53130550
coast	milton	51/332927
coast	shakespeare	29/686328
coast	corpus	18347/86396910
fleet	country	70/40283
fleet	south_america	259/1144424
fleet	europe	13720/53130550
fleet	milton	71/332927
fleet	shakespeare	15/686328
fleet	corpus	17565/86396910
portugueses	country	43/40283
portugueses	south_america	55/1144424
portugueses	europe	1291/53130550
portugueses	milton	1/332927
portugueses	shakespeare	0
portugueses	corpus	2141/86396910
