word	collection	value
constantinople	country	581/217106
constantinople	europe	11802/53130550
constantinople	asia	2638/20757659
constantinople	milton	6/332927
constantinople	shakespeare	1/686328
constantinople	corpus	15724/86396910
emperour	country	574/217106
emperour	europe	50263/53130550
emperour	asia	7585/20757659
emperour	milton	126/332927
emperour	shakespeare	58/686328
emperour	corpus	61710/86396910
empire	country	617/217106
empire	europe	37858/53130550
empire	asia	7079/20757659
empire	milton	97/332927
empire	shakespeare	16/686328
empire	corpus	49579/86396910
turks	country	471/217106
turks	europe	18942/53130550
turks	asia	2887/20757659
turks	milton	9/332927
turks	shakespeare	1/686328
turks	corpus	23458/86396910
emperor	country	459/217106
emperor	europe	32150/53130550
emperor	asia	3470/20757659
emperor	milton	68/332927
emperor	shakespeare	26/686328
emperor	corpus	37489/86396910
pope	country	425/217106
pope	europe	70937/53130550
pope	asia	4533/20757659
pope	milton	75/332927
pope	shakespeare	19/686328
pope	corpus	78256/86396910
amurath	country	237/217106
amurath	europe	2124/53130550
amurath	asia	144/20757659
amurath	milton	0
amurath	shakespeare	2/686328
amurath	corpus	2394/86396910
son	country	363/217106
son	europe	43322/53130550
son	asia	13251/20757659
son	milton	492/332927
son	shakespeare	85/686328
son	corpus	63521/86396910
huniades	country	161/217106
huniades	europe	751/53130550
huniades	asia	22/20757659
huniades	milton	0
huniades	shakespeare	0
huniades	corpus	789/86396910
church	country	338/217106
church	europe	69388/53130550
church	asia	29208/20757659
church	milton	307/332927
church	shakespeare	98/686328
church	corpus	111163/86396910
