word	collection	value
siam	country	64/8659
siam	europe	302/53130550
siam	asia	656/20757659
siam	milton	0
siam	shakespeare	0
siam	corpus	1074/86396910
pulo	country	28/8659
pulo	europe	17/53130550
pulo	asia	296/20757659
pulo	milton	0
pulo	shakespeare	0
pulo	corpus	359/86396910
tonquin	country	16/8659
tonquin	europe	4/53130550
tonquin	asia	65/20757659
tonquin	milton	0
tonquin	shakespeare	0
tonquin	corpus	72/86396910
kingdom	country	62/8659
kingdom	europe	47075/53130550
kingdom	asia	10702/20757659
kingdom	milton	177/332927
kingdom	shakespeare	5/686328
kingdom	corpus	63423/86396910
champa	country	16/8659
champa	europe	4/53130550
champa	asia	82/20757659
champa	milton	0
champa	shakespeare	0
champa	corpus	92/86396910
river	country	55/8659
river	europe	19296/53130550
river	asia	7247/20757659
river	milton	107/332927
river	shakespeare	4/686328
river	corpus	32898/86396910
condore	country	14/8659
condore	europe	3/53130550
condore	asia	26/20757659
condore	milton	0
condore	shakespeare	0
condore	corpus	38/86396910
leagues	country	45/8659
leagues	europe	6878/53130550
leagues	asia	4312/20757659
leagues	milton	19/332927
leagues	shakespeare	14/686328
leagues	corpus	16989/86396910
china	country	39/8659
china	europe	2637/53130550
china	asia	2616/20757659
china	milton	1/332927
china	shakespeare	1/686328
china	corpus	6922/86396910
cochinchina	country	16/8659
cochinchina	europe	19/53130550
cochinchina	asia	117/20757659
cochinchina	milton	0
cochinchina	shakespeare	0
cochinchina	corpus	156/86396910
