word	collection	value
church	country	245/48109
church	europe	69388/53130550
church	africa	10146/8599577
church	milton	307/332927
church	shakespeare	98/686328
church	corpus	111163/86396910
bishop	country	195/48109
bishop	europe	37406/53130550
bishop	africa	3157/8599577
bishop	milton	80/332927
bishop	shakespeare	27/686328
bishop	corpus	47029/86396910
ibid	country	150/48109
ibid	europe	3817/53130550
ibid	africa	1034/8599577
ibid	milton	21/332927
ibid	shakespeare	0
ibid	corpus	6233/86396910
iohn	country	186/48109
iohn	europe	27472/53130550
iohn	africa	2525/8599577
iohn	milton	17/332927
iohn	shakespeare	434/686328
iohn	corpus	37762/86396910
boner	country	55/48109
boner	europe	105/53130550
boner	africa	61/8599577
boner	milton	0
boner	shakespeare	0
boner	corpus	174/86396910
god	country	145/48109
god	europe	70256/53130550
god	africa	52719/8599577
god	milton	1015/332927
god	shakespeare	933/686328
god	corpus	273914/86396910
mercians	country	46/48109
mercians	europe	174/53130550
mercians	africa	49/8599577
mercians	milton	20/332927
mercians	shakespeare	0
mercians	corpus	230/86396910
london	country	98/48109
london	europe	14675/53130550
london	africa	632/8599577
london	milton	117/332927
london	shakespeare	87/686328
london	corpus	17982/86396910
mannor	country	55/48109
mannor	europe	632/53130550
mannor	africa	61/8599577
mannor	milton	1/332927
mannor	shakespeare	3/686328
mannor	corpus	727/86396910
christ	country	105/48109
christ	europe	22912/53130550
christ	africa	14446/8599577
christ	milton	85/332927
christ	shakespeare	8/686328
christ	corpus	79618/86396910
