word	collection	value
peru	country	161/49339
peru	south_america	268/1144424
peru	europe	1225/53130550
peru	milton	1/332927
peru	shakespeare	0
peru	corpus	5472/86396910
indians	country	137/49339
indians	south_america	1952/1144424
indians	europe	3583/53130550
indians	milton	2/332927
indians	shakespeare	0
indians	corpus	11134/86396910
spaniards	country	140/49339
spaniards	south_america	2015/1144424
spaniards	europe	21668/53130550
spaniards	milton	10/332927
spaniards	shakespeare	2/686328
spaniards	corpus	34170/86396910
cacao	country	54/49339
cacao	south_america	98/1144424
cacao	europe	137/53130550
cacao	milton	0
cacao	shakespeare	0
cacao	corpus	771/86396910
valdivia	country	33/49339
valdivia	south_america	78/1144424
valdivia	europe	9/53130550
valdivia	milton	0
valdivia	shakespeare	0
valdivia	corpus	114/86396910
leagues	country	102/49339
leagues	south_america	1390/1144424
leagues	europe	6878/53130550
leagues	milton	19/332927
leagues	shakespeare	14/686328
leagues	corpus	16989/86396910
south	country	112/49339
south	south_america	1271/1144424
south	europe	10481/53130550
south	milton	57/332927
south	shakespeare	33/686328
south	corpus	24079/86396910
maiz	country	37/49339
maiz	south_america	101/1144424
maiz	europe	110/53130550
maiz	milton	0
maiz	shakespeare	0
maiz	corpus	929/86396910
sea	country	106/49339
sea	south_america	2475/1144424
sea	europe	55791/53130550
sea	milton	240/332927
sea	shakespeare	328/686328
sea	corpus	100931/86396910
lyuer	country	27/49339
lyuer	south_america	28/1144424
lyuer	europe	16/53130550
lyuer	milton	0
lyuer	shakespeare	1/686328
lyuer	corpus	74/86396910
