word	collection	value
thousand	country	1950/1381267
thousand	europe	41534/53130550
thousand	asia	13252/20757659
thousand	milton	102/332927
thousand	shakespeare	413/686328
thousand	corpus	62157/86396910
world	country	2058/1381267
world	europe	43862/53130550
world	asia	25990/20757659
world	milton	285/332927
world	shakespeare	762/686328
world	corpus	88403/86396910
chineses	country	1021/1381267
chineses	europe	226/53130550
chineses	asia	1329/20757659
chineses	milton	0
chineses	shakespeare	0
chineses	corpus	1659/86396910
sea	country	2254/1381267
sea	europe	55791/53130550
sea	asia	23473/20757659
sea	milton	240/332927
sea	shakespeare	328/686328
sea	corpus	100931/86396910
city	country	1894/1381267
city	europe	53215/53130550
city	asia	17037/20757659
city	milton	206/332927
city	shakespeare	52/686328
city	corpus	80122/86396910
prince	country	1839/1381267
prince	europe	82012/53130550
prince	asia	11570/20757659
prince	milton	235/332927
prince	shakespeare	499/686328
prince	corpus	101455/86396910
tartars	country	1367/1381267
tartars	europe	3417/53130550
tartars	asia	3020/20757659
tartars	milton	11/332927
tartars	shakespeare	6/686328
tartars	corpus	6890/86396910
god	country	1893/1381267
god	europe	70256/53130550
god	asia	144408/20757659
god	milton	1015/332927
god	shakespeare	933/686328
god	corpus	273914/86396910
axalla	country	430/1381267
axalla	europe	696/53130550
axalla	asia	777/20757659
axalla	milton	0
axalla	shakespeare	0
axalla	corpus	1822/86396910
long	country	1806/1381267
long	europe	61030/53130550
long	asia	20508/20757659
long	milton	489/332927
long	shakespeare	590/686328
long	corpus	95413/86396910
