word	collection	value
almanzor	country	195/139192
almanzor	europe	348/53130550
almanzor	africa	1299/8599577
almanzor	milton	0
almanzor	shakespeare	0
almanzor	corpus	1712/86396910
angola	country	249/139192
angola	europe	229/53130550
angola	africa	385/8599577
angola	milton	1/332927
angola	shakespeare	0
angola	corpus	792/86396910
zabaim	country	136/139192
zabaim	europe	151/53130550
zabaim	africa	841/8599577
zabaim	milton	0
zabaim	shakespeare	0
zabaim	corpus	1002/86396910
riuer	country	379/139192
riuer	europe	8384/53130550
riuer	africa	2600/8599577
riuer	milton	0
riuer	shakespeare	23/686328
riuer	corpus	18919/86396910
kingdome	country	390/139192
kingdome	europe	27685/53130550
kingdome	africa	4308/8599577
kingdome	milton	57/332927
kingdome	shakespeare	97/686328
kingdome	corpus	43756/86396910
polexander	country	104/139192
polexander	europe	634/53130550
polexander	africa	1644/8599577
polexander	milton	0
polexander	shakespeare	0
polexander	corpus	2662/86396910
zaire	country	101/139192
zaire	europe	48/53130550
zaire	africa	179/8599577
zaire	milton	0
zaire	shakespeare	0
zaire	corpus	248/86396910
himselfe	country	255/139192
himselfe	europe	36997/53130550
himselfe	africa	6808/8599577
himselfe	milton	28/332927
himselfe	shakespeare	551/686328
himselfe	corpus	59839/86396910
batta	country	62/139192
batta	europe	22/53130550
batta	africa	75/8599577
batta	milton	2/332927
batta	shakespeare	0
batta	corpus	106/86396910
sea	country	276/139192
sea	europe	55791/53130550
sea	africa	11679/8599577
sea	milton	240/332927
sea	shakespeare	328/686328
sea	corpus	100931/86396910
