word	collection	value
turks	country	546/119535
turks	europe	18942/53130550
turks	asia	2887/20757659
turks	milton	9/332927
turks	shakespeare	1/686328
turks	corpus	23458/86396910
hungary	country	381/119535
hungary	europe	9352/53130550
hungary	asia	595/20757659
hungary	milton	3/332927
hungary	shakespeare	1/686328
hungary	corpus	10278/86396910
emperour	country	321/119535
emperour	europe	50263/53130550
emperour	asia	7585/20757659
emperour	milton	126/332927
emperour	shakespeare	58/686328
emperour	corpus	61710/86396910
serini	country	111/119535
serini	europe	353/53130550
serini	asia	1/20757659
serini	milton	0
serini	shakespeare	0
serini	corpus	357/86396910
dalmatia	country	236/119535
dalmatia	europe	2142/53130550
dalmatia	asia	175/20757659
dalmatia	milton	0
dalmatia	shakespeare	0
dalmatia	corpus	2433/86396910
bassa	country	171/119535
bassa	europe	3752/53130550
bassa	asia	681/20757659
bassa	milton	0
bassa	shakespeare	0
bassa	corpus	4789/86396910
duke	country	242/119535
duke	europe	97691/53130550
duke	asia	2931/20757659
duke	milton	147/332927
duke	shakespeare	554/686328
duke	corpus	102038/86396910
christians	country	244/119535
christians	europe	18752/53130550
christians	asia	9932/20757659
christians	milton	54/332927
christians	shakespeare	17/686328
christians	corpus	34293/86396910
army	country	244/119535
army	europe	55091/53130550
army	asia	8134/20757659
army	milton	154/332927
army	shakespeare	67/686328
army	corpus	67382/86396910
empire	country	219/119535
empire	europe	37858/53130550
empire	asia	7079/20757659
empire	milton	97/332927
empire	shakespeare	16/686328
empire	corpus	49579/86396910
