word	collection	value
theyr	country	641/293605
theyr	north_america	1071/2762132
theyr	europe	9114/53130550
theyr	milton	0
theyr	shakespeare	9/686328
theyr	corpus	17373/86396910
whiche	country	617/293605
whiche	north_america	1074/2762132
whiche	europe	11248/53130550
whiche	milton	0
whiche	shakespeare	0
whiche	corpus	21205/86396910
sea	country	944/293605
sea	north_america	7508/2762132
sea	europe	55791/53130550
sea	milton	240/332927
sea	shakespeare	328/686328
sea	corpus	100931/86396910
ilande	country	423/293605
ilande	north_america	632/2762132
ilande	europe	443/53130550
ilande	milton	0
ilande	shakespeare	0
ilande	corpus	2098/86396910
hispaniola	country	463/293605
hispaniola	north_america	897/2762132
hispaniola	europe	394/53130550
hispaniola	milton	0
hispaniola	shakespeare	0
hispaniola	corpus	2095/86396910
indians	country	555/293605
indians	north_america	3886/2762132
indians	europe	3583/53130550
indians	milton	2/332927
indians	shakespeare	0
indians	corpus	11134/86396910
leagues	country	581/293605
leagues	north_america	3471/2762132
leagues	europe	6878/53130550
leagues	milton	19/332927
leagues	shakespeare	14/686328
leagues	corpus	16989/86396910
spaniards	country	546/293605
spaniards	north_america	5023/2762132
spaniards	europe	21668/53130550
spaniards	milton	10/332927
spaniards	shakespeare	2/686328
spaniards	corpus	34170/86396910
owre	country	232/293605
owre	north_america	267/2762132
owre	europe	119/53130550
owre	milton	0
owre	shakespeare	0
owre	corpus	750/86396910
land	country	554/293605
land	north_america	4743/2762132
land	europe	31814/53130550
land	milton	218/332927
land	shakespeare	260/686328
land	corpus	75858/86396910
