word	collection	value
god	country	1755/1078739
god	europe	70256/53130550
god	asia	144408/20757659
god	milton	1015/332927
god	shakespeare	933/686328
god	corpus	273914/86396910
church	country	1538/1078739
church	europe	69388/53130550
church	asia	29208/20757659
church	milton	307/332927
church	shakespeare	98/686328
church	corpus	111163/86396910
artamenes	country	321/1078739
artamenes	europe	994/53130550
artamenes	asia	0/20757659
artamenes	milton	0
artamenes	shakespeare	0
artamenes	corpus	995/86396910
sea	country	1723/1078739
sea	europe	55791/53130550
sea	asia	23473/20757659
sea	milton	240/332927
sea	shakespeare	328/686328
sea	corpus	100931/86396910
city	country	1301/1078739
city	europe	53215/53130550
city	asia	17037/20757659
city	milton	206/332927
city	shakespeare	52/686328
city	corpus	80122/86396910
rome	country	1132/1078739
rome	europe	59689/53130550
rome	asia	8960/20757659
rome	milton	117/332927
rome	shakespeare	332/686328
rome	corpus	74847/86396910
bishop	country	1084/1078739
bishop	europe	37406/53130550
bishop	asia	5629/20757659
bishop	milton	80/332927
bishop	shakespeare	27/686328
bishop	corpus	47029/86396910
death	country	1191/1078739
death	europe	50639/53130550
death	asia	20457/20757659
death	milton	412/332927
death	shakespeare	1069/686328
death	corpus	82622/86396910
prince	country	1168/1078739
prince	europe	82012/53130550
prince	asia	11570/20757659
prince	milton	235/332927
prince	shakespeare	499/686328
prince	corpus	101455/86396910
long	country	1317/1078739
long	europe	61030/53130550
long	asia	20508/20757659
long	milton	489/332927
long	shakespeare	590/686328
long	corpus	95413/86396910
