word	collection	value
duke	country	3329/1368235
duke	europe	97691/53130550
duke	asia	2931/20757659
duke	milton	147/332927
duke	shakespeare	554/686328
duke	corpus	102038/86396910
england	country	3564/1368235
england	europe	79137/53130550
england	asia	7935/20757659
england	milton	268/332927
england	shakespeare	262/686328
england	corpus	92639/86396910
kings	country	2677/1368235
kings	europe	75604/53130550
kings	asia	22676/20757659
kings	milton	541/332927
kings	shakespeare	298/686328
kings	corpus	108954/86396910
prince	country	2295/1368235
prince	europe	82012/53130550
prince	asia	11570/20757659
prince	milton	235/332927
prince	shakespeare	499/686328
prince	corpus	101455/86396910
france	country	2192/1368235
france	europe	63151/53130550
france	asia	3844/20757659
france	milton	83/332927
france	shakespeare	360/686328
france	corpus	69941/86396910
kyng	country	1345/1368235
kyng	europe	7428/53130550
kyng	asia	1664/20757659
kyng	milton	0
kyng	shakespeare	0
kyng	corpus	10065/86396910
hym	country	1281/1368235
hym	europe	10685/53130550
hym	asia	5663/20757659
hym	milton	0
hym	shakespeare	1/686328
hym	corpus	18998/86396910
danes	country	1418/1368235
danes	europe	4734/53130550
danes	asia	289/20757659
danes	milton	132/332927
danes	shakespeare	0
danes	corpus	5189/86396910
princes	country	1887/1368235
princes	europe	63268/53130550
princes	asia	9855/20757659
princes	milton	161/332927
princes	shakespeare	188/686328
princes	corpus	78390/86396910
god	country	2015/1368235
god	europe	70256/53130550
god	asia	144408/20757659
god	milton	1015/332927
god	shakespeare	933/686328
god	corpus	273914/86396910
