word	collection	value
god	country	43584/5058911
god	europe	70256/53130550
god	africa	52719/8599577
god	milton	1015/332927
god	shakespeare	933/686328
god	corpus	273914/86396910
lord	country	14703/5058911
lord	europe	59253/53130550
lord	africa	17645/8599577
lord	milton	226/332927
lord	shakespeare	3231/686328
lord	corpus	141816/86396910
moses	country	9266/5058911
moses	europe	2192/53130550
moses	africa	9922/8599577
moses	milton	40/332927
moses	shakespeare	0
moses	corpus	30819/86396910
christ	country	11035/5058911
christ	europe	22912/53130550
christ	africa	14446/8599577
christ	milton	85/332927
christ	shakespeare	8/686328
christ	corpus	79618/86396910
thy	country	9416/5058911
thy	europe	13406/53130550
thy	africa	12072/8599577
thy	milton	1117/332927
thy	shakespeare	5081/686328
thy	corpus	60836/86396910
thou	country	9564/5058911
thou	europe	18353/53130550
thou	africa	12669/8599577
thou	milton	994/332927
thou	shakespeare	6704/686328
thou	corpus	69121/86396910
israel	country	7043/5058911
israel	europe	1940/53130550
israel	africa	7537/8599577
israel	milton	61/332927
israel	shakespeare	1/686328
israel	corpus	13810/86396910
gods	country	8424/5058911
gods	europe	14859/53130550
gods	africa	10127/8599577
gods	milton	182/332927
gods	shakespeare	524/686328
gods	corpus	51767/86396910
land	country	8844/5058911
land	europe	31814/53130550
land	africa	11693/8599577
land	milton	218/332927
land	shakespeare	260/686328
land	corpus	75858/86396910
world	country	8152/5058911
world	europe	43862/53130550
world	africa	12266/8599577
world	milton	285/332927
world	shakespeare	762/686328
world	corpus	88403/86396910
