word	collection	value
church	country	13565/3918324
church	europe	69388/53130550
church	asia	29208/20757659
church	milton	307/332927
church	shakespeare	98/686328
church	corpus	111163/86396910
parliament	country	8010/3918324
parliament	europe	31210/53130550
parliament	asia	1710/20757659
parliament	milton	148/332927
parliament	shakespeare	23/686328
parliament	corpus	33989/86396910
lord	country	9882/3918324
lord	europe	59253/53130550
lord	asia	62439/20757659
lord	milton	226/332927
lord	shakespeare	3231/686328
lord	corpus	141816/86396910
english	country	8916/3918324
english	europe	46830/53130550
english	asia	8023/20757659
english	milton	260/332927
english	shakespeare	162/686328
english	corpus	59959/86396910
god	country	8332/3918324
god	europe	70256/53130550
god	asia	144408/20757659
god	milton	1015/332927
god	shakespeare	933/686328
god	corpus	273914/86396910
ireland	country	6048/3918324
ireland	europe	15184/53130550
ireland	asia	902/20757659
ireland	milton	31/332927
ireland	shakespeare	31/686328
ireland	corpus	17074/86396910
france	country	6996/3918324
france	europe	63151/53130550
france	asia	3844/20757659
france	milton	83/332927
france	shakespeare	360/686328
france	corpus	69941/86396910
scotland	country	5798/3918324
scotland	europe	25886/53130550
scotland	asia	1233/20757659
scotland	milton	30/332927
scotland	shakespeare	31/686328
scotland	corpus	28031/86396910
duke	country	6224/3918324
duke	europe	97691/53130550
duke	asia	2931/20757659
duke	milton	147/332927
duke	shakespeare	554/686328
duke	corpus	102038/86396910
kings	country	7750/3918324
kings	europe	75604/53130550
kings	asia	22676/20757659
kings	milton	541/332927
kings	shakespeare	298/686328
kings	corpus	108954/86396910
