word	collection	value
asphales	country	10/1746
asphales	europe	0/53130550
asphales	africa	11/8599577
asphales	milton	0
asphales	shakespeare	0
asphales	corpus	11/86396910
alindres	country	8/1746
alindres	europe	0/53130550
alindres	africa	8/8599577
alindres	milton	0
alindres	shakespeare	0
alindres	corpus	8/86396910
dorissea	country	6/1746
dorissea	europe	0/53130550
dorissea	africa	6/8599577
dorissea	milton	0
dorissea	shakespeare	0
dorissea	corpus	6/86396910
colchos	country	6/1746
colchos	europe	148/53130550
colchos	africa	33/8599577
colchos	milton	0
colchos	shakespeare	1/686328
colchos	corpus	209/86396910
iason	country	8/1746
iason	europe	272/53130550
iason	africa	92/8599577
iason	milton	0
iason	shakespeare	2/686328
iason	corpus	509/86396910
troye	country	6/1746
troye	europe	133/53130550
troye	africa	38/8599577
troye	milton	0
troye	shakespeare	0
troye	corpus	197/86396910
pelias	country	4/1746
pelias	europe	37/53130550
pelias	africa	6/8599577
pelias	milton	1/332927
pelias	shakespeare	0
pelias	corpus	51/86396910
filintes	country	2/1746
filintes	europe	0/53130550
filintes	africa	2/8599577
filintes	milton	0
filintes	shakespeare	0
filintes	corpus	2/86396910
delphire	country	2/1746
delphire	europe	0/53130550
delphire	africa	2/8599577
delphire	milton	0
delphire	shakespeare	0
delphire	corpus	2/86396910
sayllyng	country	3/1746
sayllyng	europe	2/53130550
sayllyng	africa	7/8599577
sayllyng	milton	0
sayllyng	shakespeare	0
sayllyng	corpus	9/86396910
