word	collection	value
orientem	country	8/853
orientem	europe	109/53130550
orientem	asia	73/20757659
orientem	milton	0
orientem	shakespeare	0
orientem	corpus	195/86396910
est	country	15/853
est	europe	11049/53130550
est	asia	8040/20757659
est	milton	145/332927
est	shakespeare	17/686328
est	corpus	25079/86396910
mare	country	11/853
mare	europe	1265/53130550
mare	asia	636/20757659
mare	milton	1/332927
mare	shakespeare	11/686328
mare	corpus	2497/86396910
norguegia	country	3/853
norguegia	europe	12/53130550
norguegia	asia	3/20757659
norguegia	milton	0
norguegia	shakespeare	0
norguegia	corpus	15/86396910
vltra	country	7/853
vltra	europe	136/53130550
vltra	asia	84/20757659
vltra	milton	0
vltra	shakespeare	0
vltra	corpus	282/86396910
quae	country	10/853
quae	europe	3400/53130550
quae	asia	2811/20757659
quae	milton	91/332927
quae	shakespeare	0
quae	corpus	8128/86396910
occidentalis	country	5/853
occidentalis	europe	45/53130550
occidentalis	asia	33/20757659
occidentalis	milton	0
occidentalis	shakespeare	0
occidentalis	corpus	85/86396910
extenditur	country	4/853
extenditur	europe	29/53130550
extenditur	asia	9/20757659
extenditur	milton	0
extenditur	shakespeare	0
extenditur	corpus	43/86396910
deinde	country	6/853
deinde	europe	268/53130550
deinde	asia	245/20757659
deinde	milton	0
deinde	shakespeare	0
deinde	corpus	663/86396910
magna	country	7/853
magna	europe	1110/53130550
magna	asia	303/20757659
magna	milton	9/332927
magna	shakespeare	0
magna	corpus	1606/86396910
