word	collection	value
god	country	2664/832611
god	europe	70256/53130550
god	africa	52719/8599577
god	milton	1015/332927
god	shakespeare	933/686328
god	corpus	273914/86396910
church	country	1384/832611
church	europe	69388/53130550
church	africa	10146/8599577
church	milton	307/332927
church	shakespeare	98/686328
church	corpus	111163/86396910
sea	country	1532/832611
sea	europe	55791/53130550
sea	africa	11679/8599577
sea	milton	240/332927
sea	shakespeare	328/686328
sea	corpus	100931/86396910
whiche	country	888/832611
whiche	europe	11248/53130550
whiche	africa	3096/8599577
whiche	milton	0
whiche	shakespeare	0
whiche	corpus	21205/86396910
egypt	country	1023/832611
egypt	europe	5154/53130550
egypt	africa	1921/8599577
egypt	milton	23/332927
egypt	shakespeare	41/686328
egypt	corpus	17952/86396910
christ	country	1093/832611
christ	europe	22912/53130550
christ	africa	14446/8599577
christ	milton	85/332927
christ	shakespeare	8/686328
christ	corpus	79618/86396910
world	country	1102/832611
world	europe	43862/53130550
world	africa	12266/8599577
world	milton	285/332927
world	shakespeare	762/686328
world	corpus	88403/86396910
cariclia	country	184/832611
cariclia	europe	326/53130550
cariclia	africa	184/8599577
cariclia	milton	0
cariclia	shakespeare	0
cariclia	corpus	590/86396910
reason	country	960/832611
reason	europe	48472/53130550
reason	africa	8081/8599577
reason	milton	274/332927
reason	shakespeare	370/686328
reason	corpus	77820/86396910
lord	country	883/832611
lord	europe	59253/53130550
lord	africa	17645/8599577
lord	milton	226/332927
lord	shakespeare	3231/686328
lord	corpus	141816/86396910
