word	collection	value
duke	country	290/67113
duke	europe	97691/53130550
duke	asia	2931/20757659
duke	milton	147/332927
duke	shakespeare	554/686328
duke	corpus	102038/86396910
sweden	country	172/67113
sweden	europe	5720/53130550
sweden	asia	405/20757659
sweden	milton	22/332927
sweden	shakespeare	0
sweden	corpus	6238/86396910
prince	country	230/67113
prince	europe	82012/53130550
prince	asia	11570/20757659
prince	milton	235/332927
prince	shakespeare	499/686328
prince	corpus	101455/86396910
oliver	country	119/67113
oliver	europe	1871/53130550
oliver	asia	195/20757659
oliver	milton	63/332927
oliver	shakespeare	0
oliver	corpus	2151/86396910
sea	country	234/67113
sea	europe	55791/53130550
sea	asia	23473/20757659
sea	milton	240/332927
sea	shakespeare	328/686328
sea	corpus	100931/86396910
serene	country	113/67113
serene	europe	1796/53130550
serene	asia	166/20757659
serene	milton	107/332927
serene	shakespeare	0
serene	corpus	2016/86396910
protector	country	127/67113
protector	europe	3726/53130550
protector	asia	404/20757659
protector	milton	75/332927
protector	shakespeare	47/686328
protector	corpus	4338/86396910
england	country	173/67113
england	europe	79137/53130550
england	asia	7935/20757659
england	milton	268/332927
england	shakespeare	262/686328
england	corpus	92639/86396910
gustavus	country	75/67113
gustavus	europe	1387/53130550
gustavus	asia	61/20757659
gustavus	milton	16/332927
gustavus	shakespeare	0
gustavus	corpus	1458/86396910
swedes	country	85/67113
swedes	europe	3695/53130550
swedes	asia	152/20757659
swedes	milton	28/332927
swedes	shakespeare	0
swedes	corpus	3930/86396910
