word	collection	value
duke	country	28855/9139623
duke	europe	97691/53130550
duke	asia	2931/20757659
duke	milton	147/332927
duke	shakespeare	554/686328
duke	corpus	102038/86396910
england	country	23942/9139623
england	europe	79137/53130550
england	asia	7935/20757659
england	milton	268/332927
england	shakespeare	262/686328
england	corpus	92639/86396910
french	country	24934/9139623
french	europe	71090/53130550
french	asia	3610/20757659
french	milton	52/332927
french	shakespeare	170/686328
french	corpus	77857/86396910
pope	country	16178/9139623
pope	europe	70937/53130550
pope	asia	4533/20757659
pope	milton	75/332927
pope	shakespeare	19/686328
pope	corpus	78256/86396910
prince	country	17842/9139623
prince	europe	82012/53130550
prince	asia	11570/20757659
prince	milton	235/332927
prince	shakespeare	499/686328
prince	corpus	101455/86396910
kings	country	19259/9139623
kings	europe	75604/53130550
kings	asia	22676/20757659
kings	milton	541/332927
kings	shakespeare	298/686328
kings	corpus	108954/86396910
henry	country	12353/9139623
henry	europe	36352/53130550
henry	asia	1920/20757659
henry	milton	27/332927
henry	shakespeare	169/686328
henry	corpus	39444/86396910
peace	country	13483/9139623
peace	europe	61753/53130550
peace	asia	11865/20757659
peace	milton	321/332927
peace	shakespeare	652/686328
peace	corpus	78960/86396910
princes	country	13054/9139623
princes	europe	63268/53130550
princes	asia	9855/20757659
princes	milton	161/332927
princes	shakespeare	188/686328
princes	corpus	78390/86396910
charles	country	10909/9139623
charles	europe	34849/53130550
charles	asia	1613/20757659
charles	milton	92/332927
charles	shakespeare	54/686328
charles	corpus	37701/86396910
