word	collection	value
biafara	country	4/7277
biafara	europe	0/53130550
biafara	africa	21/8599577
biafara	milton	0
biafara	shakespeare	0
biafara	corpus	21/86396910
iaath	country	4/7277
iaath	europe	12/53130550
iaath	africa	8/8599577
iaath	milton	0
iaath	shakespeare	0
iaath	corpus	32/86396910
hasor	country	4/7277
hasor	europe	12/53130550
hasor	africa	9/8599577
hasor	milton	0
hasor	shakespeare	0
hasor	corpus	38/86396910
baal	country	7/7277
baal	europe	199/53130550
baal	africa	328/8599577
baal	milton	2/332927
baal	shakespeare	0
baal	corpus	2107/86396910
aia	country	5/7277
aia	europe	46/53130550
aia	africa	12/8599577
aia	milton	1/332927
aia	shakespeare	0
aia	corpus	101/86396910
syra	country	4/7277
syra	europe	30/53130550
syra	africa	11/8599577
syra	milton	0
syra	shakespeare	0
syra	corpus	72/86396910
soba	country	4/7277
soba	europe	23/53130550
soba	africa	24/8599577
soba	milton	0
soba	shakespeare	0
soba	corpus	119/86396910
semron	country	3/7277
semron	europe	9/53130550
semron	africa	6/8599577
semron	milton	0
semron	shakespeare	0
semron	corpus	27/86396910
hanni	country	3/7277
hanni	europe	9/53130550
hanni	africa	6/8599577
hanni	milton	0
hanni	shakespeare	0
hanni	corpus	25/86396910
misphat	country	3/7277
misphat	europe	9/53130550
misphat	africa	6/8599577
misphat	milton	0
misphat	shakespeare	0
misphat	corpus	26/86396910
