word	collection	value
senegal	country	11/3424
senegal	europe	5/53130550
senegal	africa	17/8599577
senegal	milton	0
senegal	shakespeare	0
senegal	corpus	24/86396910
river	country	37/3424
river	europe	19296/53130550
river	africa	3187/8599577
river	milton	107/332927
river	shakespeare	4/686328
river	corpus	32898/86396910
english	country	22/3424
english	europe	46830/53130550
english	africa	1596/8599577
english	milton	260/332927
english	shakespeare	162/686328
english	corpus	59959/86396910
coast	country	20/3424
coast	europe	8208/53130550
coast	africa	2153/8599577
coast	milton	51/332927
coast	shakespeare	29/686328
coast	corpus	18347/86396910
leagues	country	18/3424
leagues	europe	6878/53130550
leagues	africa	938/8599577
leagues	milton	19/332927
leagues	shakespeare	14/686328
leagues	corpus	16989/86396910
gambra	country	6/3424
gambra	europe	25/53130550
gambra	africa	108/8599577
gambra	milton	0
gambra	shakespeare	0
gambra	corpus	161/86396910
mouth	country	15/3424
mouth	europe	7260/53130550
mouth	africa	2456/8599577
mouth	milton	53/332927
mouth	shakespeare	164/686328
mouth	corpus	16852/86396910
milons	country	2/3424
milons	europe	0/53130550
milons	africa	2/8599577
milons	milton	0
milons	shakespeare	0
milons	corpus	2/86396910
pognant	country	2/3424
pognant	europe	0/53130550
pognant	africa	2/8599577
pognant	milton	0
pognant	shakespeare	0
pognant	corpus	2/86396910
zamenee	country	2/3424
zamenee	europe	0/53130550
zamenee	africa	2/8599577
zamenee	milton	0
zamenee	shakespeare	0
zamenee	corpus	2/86396910
