word	collection	value
teflis	country	258/236114
teflis	europe	299/53130550
teflis	asia	3/20757659
teflis	milton	0
teflis	shakespeare	0
teflis	corpus	306/86396910
persian	country	496/236114
persian	europe	4903/53130550
persian	asia	2621/20757659
persian	milton	10/332927
persian	shakespeare	4/686328
persian	corpus	8607/86396910
turks	country	558/236114
turks	europe	18942/53130550
turks	asia	2887/20757659
turks	milton	9/332927
turks	shakespeare	1/686328
turks	corpus	23458/86396910
mustaffa	country	169/236114
mustaffa	europe	226/53130550
mustaffa	asia	0/20757659
mustaffa	milton	0
mustaffa	shakespeare	0
mustaffa	corpus	226/86396910
bassa	country	396/236114
bassa	europe	3752/53130550
bassa	asia	681/20757659
bassa	milton	0
bassa	shakespeare	0
bassa	corpus	4789/86396910
persia	country	493/236114
persia	europe	6640/53130550
persia	asia	4681/20757659
persia	milton	9/332927
persia	shakespeare	1/686328
persia	corpus	12923/86396910
persians	country	374/236114
persians	europe	5501/53130550
persians	asia	2628/20757659
persians	milton	9/332927
persians	shakespeare	0
persians	corpus	9479/86396910
amurath	country	280/236114
amurath	europe	2124/53130550
amurath	asia	144/20757659
amurath	milton	0
amurath	shakespeare	2/686328
amurath	corpus	2394/86396910
army	country	422/236114
army	europe	55091/53130550
army	asia	8134/20757659
army	milton	154/332927
army	shakespeare	67/686328
army	corpus	67382/86396910
prince	country	424/236114
prince	europe	82012/53130550
prince	asia	11570/20757659
prince	milton	235/332927
prince	shakespeare	499/686328
prince	corpus	101455/86396910
