word	collection	value
pope	country	9379/4016065
pope	europe	70937/53130550
pope	asia	4533/20757659
pope	milton	75/332927
pope	shakespeare	19/686328
pope	corpus	78256/86396910
duke	country	8998/4016065
duke	europe	97691/53130550
duke	asia	2931/20757659
duke	milton	147/332927
duke	shakespeare	554/686328
duke	corpus	102038/86396910
emperour	country	8578/4016065
emperour	europe	50263/53130550
emperour	asia	7585/20757659
emperour	milton	126/332927
emperour	shakespeare	58/686328
emperour	corpus	61710/86396910
princes	country	8836/4016065
princes	europe	63268/53130550
princes	asia	9855/20757659
princes	milton	161/332927
princes	shakespeare	188/686328
princes	corpus	78390/86396910
france	country	8455/4016065
france	europe	63151/53130550
france	asia	3844/20757659
france	milton	83/332927
france	shakespeare	360/686328
france	corpus	69941/86396910
church	country	7293/4016065
church	europe	69388/53130550
church	asia	29208/20757659
church	milton	307/332927
church	shakespeare	98/686328
church	corpus	111163/86396910
rome	country	5825/4016065
rome	europe	59689/53130550
rome	asia	8960/20757659
rome	milton	117/332927
rome	shakespeare	332/686328
rome	corpus	74847/86396910
prince	country	6268/4016065
prince	europe	82012/53130550
prince	asia	11570/20757659
prince	milton	235/332927
prince	shakespeare	499/686328
prince	corpus	101455/86396910
god	country	6705/4016065
god	europe	70256/53130550
god	asia	144408/20757659
god	milton	1015/332927
god	shakespeare	933/686328
god	corpus	273914/86396910
emperor	country	5135/4016065
emperor	europe	32150/53130550
emperor	asia	3470/20757659
emperor	milton	68/332927
emperor	shakespeare	26/686328
emperor	corpus	37489/86396910
