word	collection	value
agades	country	2/92
agades	europe	0/53130550
agades	africa	18/8599577
agades	milton	0
agades	shakespeare	0
agades	corpus	18/86396910
nigritia	country	2/92
nigritia	europe	2/53130550
nigritia	africa	36/8599577
nigritia	milton	0
nigritia	shakespeare	0
nigritia	corpus	40/86396910
guenehoa	country	1/92
guenehoa	europe	0/53130550
guenehoa	africa	2/8599577
guenehoa	milton	0
guenehoa	shakespeare	0
guenehoa	corpus	2/86396910
cassena	country	1/92
cassena	europe	0/53130550
cassena	africa	6/8599577
cassena	milton	0
cassena	shakespeare	0
cassena	corpus	6/86396910
cano	country	2/92
cano	europe	47/53130550
cano	africa	46/8599577
cano	milton	2/332927
cano	shakespeare	0
cano	corpus	144/86396910
africa	country	3/92
africa	europe	4385/53130550
africa	africa	2437/8599577
africa	milton	3/332927
africa	shakespeare	0
africa	corpus	9471/86396910
gaoga	country	1/92
gaoga	europe	2/53130550
gaoga	africa	71/8599577
gaoga	milton	0
gaoga	shakespeare	0
gaoga	corpus	76/86396910
gualata	country	1/92
gualata	europe	15/53130550
gualata	africa	120/8599577
gualata	milton	0
gualata	shakespeare	0
gualata	corpus	150/86396910
niger	country	2/92
niger	europe	409/53130550
niger	africa	324/8599577
niger	milton	4/332927
niger	shakespeare	0
niger	corpus	1089/86396910
borno	country	1/92
borno	europe	5/53130550
borno	africa	66/8599577
borno	milton	0
borno	shakespeare	0
borno	corpus	76/86396910
