word	collection	value
rome	country	4496/3392788
rome	europe	59689/53130550
rome	asia	8960/20757659
rome	milton	117/332927
rome	shakespeare	332/686328
rome	corpus	74847/86396910
world	country	4380/3392788
world	europe	43862/53130550
world	asia	25990/20757659
world	milton	285/332927
world	shakespeare	762/686328
world	corpus	88403/86396910
prince	country	4095/3392788
prince	europe	82012/53130550
prince	asia	11570/20757659
prince	milton	235/332927
prince	shakespeare	499/686328
prince	corpus	101455/86396910
himselfe	country	3540/3392788
himselfe	europe	36997/53130550
himselfe	asia	14110/20757659
himselfe	milton	28/332927
himselfe	shakespeare	551/686328
himselfe	corpus	59839/86396910
god	country	3981/3392788
god	europe	70256/53130550
god	asia	144408/20757659
god	milton	1015/332927
god	shakespeare	933/686328
god	corpus	273914/86396910
city	country	3683/3392788
city	europe	53215/53130550
city	asia	17037/20757659
city	milton	206/332927
city	shakespeare	52/686328
city	corpus	80122/86396910
long	country	4071/3392788
long	europe	61030/53130550
long	asia	20508/20757659
long	milton	489/332927
long	shakespeare	590/686328
long	corpus	95413/86396910
death	country	3529/3392788
death	europe	50639/53130550
death	asia	20457/20757659
death	milton	412/332927
death	shakespeare	1069/686328
death	corpus	82622/86396910
brought	country	3620/3392788
brought	europe	48655/53130550
brought	asia	20718/20757659
brought	milton	248/332927
brought	shakespeare	230/686328
brought	corpus	82898/86396910
onely	country	3505/3392788
onely	europe	42959/53130550
onely	asia	19773/20757659
onely	milton	134/332927
onely	shakespeare	356/686328
onely	corpus	74257/86396910
