word	collection	value
chap	country	239/60537
chap	europe	20161/53130550
chap	asia	17801/20757659
chap	milton	42/332927
chap	shakespeare	0
chap	corpus	51940/86396910
sea	country	271/60537
sea	europe	55791/53130550
sea	asia	23473/20757659
sea	milton	240/332927
sea	shakespeare	328/686328
sea	corpus	100931/86396910
trade	country	222/60537
trade	europe	17333/53130550
trade	asia	6886/20757659
trade	milton	33/332927
trade	shakespeare	59/686328
trade	corpus	27407/86396910
ice	country	143/60537
ice	europe	853/53130550
ice	asia	342/20757659
ice	milton	10/332927
ice	shakespeare	17/686328
ice	corpus	1479/86396910
north	country	209/60537
north	europe	14493/53130550
north	asia	7025/20757659
north	milton	73/332927
north	shakespeare	50/686328
north	corpus	28384/86396910
aldrov	country	56/60537
aldrov	europe	248/53130550
aldrov	asia	152/20757659
aldrov	milton	0
aldrov	shakespeare	0
aldrov	corpus	562/86396910
english	country	153/60537
english	europe	46830/53130550
english	asia	8023/20757659
english	milton	260/332927
english	shakespeare	162/686328
english	corpus	59959/86396910
land	country	168/60537
land	europe	31814/53130550
land	asia	26046/20757659
land	milton	218/332927
land	shakespeare	260/686328
land	corpus	75858/86396910
cold	country	120/60537
cold	europe	4993/53130550
cold	asia	2437/20757659
cold	milton	45/332927
cold	shakespeare	246/686328
cold	corpus	9612/86396910
whale	country	82/60537
whale	europe	339/53130550
whale	asia	349/20757659
whale	milton	1/332927
whale	shakespeare	10/686328
whale	corpus	862/86396910
