word	collection	value
indians	country	359/63359
indians	north_america	3886/2762132
indians	europe	3583/53130550
indians	milton	2/332927
indians	shakespeare	0
indians	corpus	11134/86396910
chiapa	country	101/63359
chiapa	north_america	395/2762132
chiapa	europe	139/53130550
chiapa	milton	0
chiapa	shakespeare	0
chiapa	corpus	737/86396910
spaniards	country	243/63359
spaniards	north_america	5023/2762132
spaniards	europe	21668/53130550
spaniards	milton	10/332927
spaniards	shakespeare	2/686328
spaniards	corpus	34170/86396910
bee	country	235/63359
bee	north_america	3105/2762132
bee	europe	35771/53130550
bee	milton	17/332927
bee	shakespeare	437/686328
bee	corpus	65595/86396910
mee	country	206/63359
mee	north_america	869/2762132
mee	europe	4907/53130550
mee	milton	91/332927
mee	shakespeare	745/686328
mee	corpus	10315/86396910
chocolatte	country	68/63359
chocolatte	north_america	133/2762132
chocolatte	europe	79/53130550
chocolatte	milton	0
chocolatte	shakespeare	0
chocolatte	corpus	353/86396910
mixco	country	61/63359
mixco	north_america	113/2762132
mixco	europe	20/53130550
mixco	milton	0
mixco	shakespeare	0
mixco	corpus	226/86396910
wee	country	187/63359
wee	north_america	2771/2762132
wee	europe	17972/53130550
wee	milton	28/332927
wee	shakespeare	627/686328
wee	corpus	41379/86396910
indian	country	167/63359
indian	north_america	1545/2762132
indian	europe	2791/53130550
indian	milton	8/332927
indian	shakespeare	14/686328
indian	corpus	6572/86396910
city	country	187/63359
city	north_america	2550/2762132
city	europe	53215/53130550
city	milton	206/332927
city	shakespeare	52/686328
city	corpus	80122/86396910
