word	collection	value
polexander	country	293/227839
polexander	europe	634/53130550
polexander	africa	1644/8599577
polexander	milton	0
polexander	shakespeare	0
polexander	corpus	2662/86396910
almanzor	country	286/227839
almanzor	europe	348/53130550
almanzor	africa	1299/8599577
almanzor	milton	0
almanzor	shakespeare	0
almanzor	corpus	1712/86396910
zabaim	country	209/227839
zabaim	europe	151/53130550
zabaim	africa	841/8599577
zabaim	milton	0
zabaim	shakespeare	0
zabaim	corpus	1002/86396910
sea	country	500/227839
sea	europe	55791/53130550
sea	africa	11679/8599577
sea	milton	240/332927
sea	shakespeare	328/686328
sea	corpus	100931/86396910
coast	country	425/227839
coast	europe	8208/53130550
coast	africa	2153/8599577
coast	milton	51/332927
coast	shakespeare	29/686328
coast	corpus	18347/86396910
gold	country	428/227839
gold	europe	13725/53130550
gold	africa	3205/8599577
gold	milton	110/332927
gold	shakespeare	272/686328
gold	corpus	29954/86396910
money	country	381/227839
money	europe	24905/53130550
money	africa	2050/8599577
money	milton	62/332927
money	shakespeare	190/686328
money	corpus	33527/86396910
land	country	375/227839
land	europe	31814/53130550
land	africa	11693/8599577
land	milton	218/332927
land	shakespeare	260/686328
land	corpus	75858/86396910
selfe	country	334/227839
selfe	europe	24284/53130550
selfe	africa	5640/8599577
selfe	milton	33/332927
selfe	shakespeare	1956/686328
selfe	corpus	42136/86396910
silver	country	303/227839
silver	europe	5965/53130550
silver	africa	1214/8599577
silver	milton	38/332927
silver	shakespeare	5/686328
silver	corpus	12546/86396910
