word	collection	value
river	country	67/8713
river	south_america	1063/1144424
river	europe	19296/53130550
river	milton	107/332927
river	shakespeare	4/686328
river	corpus	32898/86396910
amazone	country	22/8713
amazone	south_america	104/1144424
amazone	europe	38/53130550
amazone	milton	0
amazone	shakespeare	0
amazone	corpus	277/86396910
chap	country	51/8713
chap	south_america	2375/1144424
chap	europe	20161/53130550
chap	milton	42/332927
chap	shakespeare	0
chap	corpus	51940/86396910
amazones	country	25/8713
amazones	south_america	120/1144424
amazones	europe	135/53130550
amazones	milton	0
amazones	shakespeare	0
amazones	corpus	600/86396910
sir	country	44/8713
sir	south_america	313/1144424
sir	europe	30539/53130550
sir	milton	35/332927
sir	shakespeare	3014/686328
sir	corpus	36961/86396910
province	country	36/8713
province	south_america	641/1144424
province	europe	12574/53130550
province	milton	36/332927
province	shakespeare	1/686328
province	corpus	18853/86396910
courten	country	12/8713
courten	south_america	12/1144424
courten	europe	656/53130550
courten	milton	0
courten	shakespeare	0
courten	corpus	1318/86396910
powel	country	10/8713
powel	south_america	10/1144424
powel	europe	65/53130550
powel	milton	0
powel	shakespeare	0
powel	corpus	124/86396910
wolverstone	country	6/8713
wolverstone	south_america	6/1144424
wolverstone	europe	6/53130550
wolverstone	milton	0
wolverstone	shakespeare	0
wolverstone	corpus	18/86396910
caribbians	country	10/8713
caribbians	south_america	46/1144424
caribbians	europe	9/53130550
caribbians	milton	0
caribbians	shakespeare	0
caribbians	corpus	141/86396910
