word	collection	value
ilande	country	68/6203
ilande	north_america	632/2762132
ilande	europe	443/53130550
ilande	milton	0
ilande	shakespeare	0
ilande	corpus	2098/86396910
whiche	country	40/6203
whiche	north_america	1074/2762132
whiche	europe	11248/53130550
whiche	milton	0
whiche	shakespeare	0
whiche	corpus	21205/86396910
theyr	country	39/6203
theyr	north_america	1071/2762132
theyr	europe	9114/53130550
theyr	milton	0
theyr	shakespeare	9/686328
theyr	corpus	17373/86396910
hispaniola	country	38/6203
hispaniola	north_america	897/2762132
hispaniola	europe	394/53130550
hispaniola	milton	0
hispaniola	shakespeare	0
hispaniola	corpus	2095/86396910
cauled	country	22/6203
cauled	north_america	223/2762132
cauled	europe	136/53130550
cauled	milton	0
cauled	shakespeare	0
cauled	corpus	853/86396910
quizqueia	country	10/6203
quizqueia	north_america	16/2762132
quizqueia	europe	2/53130550
quizqueia	milton	0
quizqueia	shakespeare	0
quizqueia	corpus	24/86396910
lyke	country	33/6203
lyke	north_america	418/2762132
lyke	europe	1903/53130550
lyke	milton	0
lyke	shakespeare	0
lyke	corpus	4708/86396910
thynges	country	23/6203
thynges	north_america	198/2762132
thynges	europe	1698/53130550
thynges	milton	0
thynges	shakespeare	0
thynges	corpus	3263/86396910
ryuer	country	21/6203
ryuer	north_america	231/2762132
ryuer	europe	1049/53130550
ryuer	milton	0
ryuer	shakespeare	0
ryuer	corpus	2438/86396910
ballettes	country	7/6203
ballettes	north_america	10/2762132
ballettes	europe	0/53130550
ballettes	milton	0
ballettes	shakespeare	0
ballettes	corpus	14/86396910
