word	collection	value
chap	country	145/34687
chap	north_america	4499/2762132
chap	europe	20161/53130550
chap	milton	42/332927
chap	shakespeare	0
chap	corpus	51940/86396910
guatemala	country	53/34687
guatemala	north_america	442/2762132
guatemala	europe	186/53130550
guatemala	milton	0
guatemala	shakespeare	0
guatemala	corpus	965/86396910
leagues	country	146/34687
leagues	north_america	3471/2762132
leagues	europe	6878/53130550
leagues	milton	19/332927
leagues	shakespeare	14/686328
leagues	corpus	16989/86396910
sea	country	175/34687
sea	north_america	7508/2762132
sea	europe	55791/53130550
sea	milton	240/332927
sea	shakespeare	328/686328
sea	corpus	100931/86396910
mexico	country	102/34687
mexico	north_america	1401/2762132
mexico	europe	1020/53130550
mexico	milton	1/332927
mexico	shakespeare	6/686328
mexico	corpus	4756/86396910
spaniards	country	105/34687
spaniards	north_america	5023/2762132
spaniards	europe	21668/53130550
spaniards	milton	10/332927
spaniards	shakespeare	2/686328
spaniards	corpus	34170/86396910
guatimala	country	51/34687
guatimala	north_america	280/2762132
guatimala	europe	77/53130550
guatimala	milton	0
guatimala	shakespeare	0
guatimala	corpus	497/86396910
indians	country	94/34687
indians	north_america	3886/2762132
indians	europe	3583/53130550
indians	milton	2/332927
indians	shakespeare	0
indians	corpus	11134/86396910
nicaragua	country	51/34687
nicaragua	north_america	305/2762132
nicaragua	europe	65/53130550
nicaragua	milton	0
nicaragua	shakespeare	0
nicaragua	corpus	588/86396910
south	country	107/34687
south	north_america	3541/2762132
south	europe	10481/53130550
south	milton	57/332927
south	shakespeare	33/686328
south	corpus	24079/86396910
