word	collection	value
turks	country	3703/1473841
turks	europe	18942/53130550
turks	asia	2887/20757659
turks	milton	9/332927
turks	shakespeare	1/686328
turks	corpus	23458/86396910
emperour	country	3448/1473841
emperour	europe	50263/53130550
emperour	asia	7585/20757659
emperour	milton	126/332927
emperour	shakespeare	58/686328
emperour	corpus	61710/86396910
duke	country	2984/1473841
duke	europe	97691/53130550
duke	asia	2931/20757659
duke	milton	147/332927
duke	shakespeare	554/686328
duke	corpus	102038/86396910
emperor	country	2667/1473841
emperor	europe	32150/53130550
emperor	asia	3470/20757659
emperor	milton	68/332927
emperor	shakespeare	26/686328
emperor	corpus	37489/86396910
peace	country	2772/1473841
peace	europe	61753/53130550
peace	asia	11865/20757659
peace	milton	321/332927
peace	shakespeare	652/686328
peace	corpus	78960/86396910
pope	country	2465/1473841
pope	europe	70937/53130550
pope	asia	4533/20757659
pope	milton	75/332927
pope	shakespeare	19/686328
pope	corpus	78256/86396910
army	country	2612/1473841
army	europe	55091/53130550
army	asia	8134/20757659
army	milton	154/332927
army	shakespeare	67/686328
army	corpus	67382/86396910
princes	country	2479/1473841
princes	europe	63268/53130550
princes	asia	9855/20757659
princes	milton	161/332927
princes	shakespeare	188/686328
princes	corpus	78390/86396910
prince	country	2375/1473841
prince	europe	82012/53130550
prince	asia	11570/20757659
prince	milton	235/332927
prince	shakespeare	499/686328
prince	corpus	101455/86396910
war	country	2409/1473841
war	europe	58509/53130550
war	asia	7235/20757659
war	milton	202/332927
war	shakespeare	24/686328
war	corpus	70427/86396910
