word	collection	value
gules	country	12/4235
gules	europe	616/53130550
gules	asia	30/20757659
gules	milton	0
gules	shakespeare	2/686328
gules	corpus	658/86396910
wyre	country	6/4235
wyre	europe	23/53130550
wyre	asia	8/20757659
wyre	milton	0
wyre	shakespeare	0
wyre	corpus	41/86396910
argent	country	8/4235
argent	europe	841/53130550
argent	asia	93/20757659
argent	milton	1/332927
argent	shakespeare	0
argent	corpus	978/86396910
cahell	country	2/4235
cahell	europe	2/53130550
cahell	asia	0/20757659
cahell	milton	0
cahell	shakespeare	0
cahell	corpus	2/86396910
earth	country	13/4235
earth	europe	14346/53130550
earth	asia	16818/20757659
earth	milton	317/332927
earth	shakespeare	373/686328
earth	corpus	41706/86396910
navigation	country	10/4235
navigation	europe	2184/53130550
navigation	asia	560/20757659
navigation	milton	3/332927
navigation	shakespeare	0
navigation	corpus	3315/86396910
water	country	14/4235
water	europe	16362/53130550
water	asia	15761/20757659
water	milton	38/332927
water	shakespeare	185/686328
water	corpus	42954/86396910
dommages	country	2/4235
dommages	europe	6/53130550
dommages	asia	0/20757659
dommages	milton	0
dommages	shakespeare	0
dommages	corpus	6/86396910
bolles	country	3/4235
bolles	europe	18/53130550
bolles	asia	6/20757659
bolles	milton	0
bolles	shakespeare	0
bolles	corpus	26/86396910
greenland	country	6/4235
greenland	europe	244/53130550
greenland	asia	153/20757659
greenland	milton	0
greenland	shakespeare	0
greenland	corpus	464/86396910
