word	collection	value
sea	country	9364/4791484
sea	europe	55791/53130550
sea	asia	23473/20757659
sea	milton	240/332927
sea	shakespeare	328/686328
sea	corpus	100931/86396910
god	country	8208/4791484
god	europe	70256/53130550
god	asia	144408/20757659
god	milton	1015/332927
god	shakespeare	933/686328
god	corpus	273914/86396910
water	country	6298/4791484
water	europe	16362/53130550
water	asia	15761/20757659
water	milton	38/332927
water	shakespeare	185/686328
water	corpus	42954/86396910
long	country	6407/4791484
long	europe	61030/53130550
long	asia	20508/20757659
long	milton	489/332927
long	shakespeare	590/686328
long	corpus	95413/86396910
brought	country	5639/4791484
brought	europe	48655/53130550
brought	asia	20718/20757659
brought	milton	248/332927
brought	shakespeare	230/686328
brought	corpus	82898/86396910
east	country	6396/4791484
east	europe	18742/53130550
east	asia	12838/20757659
east	milton	126/332927
east	shakespeare	54/686328
east	corpus	38758/86396910
bee	country	5219/4791484
bee	europe	35771/53130550
bee	asia	18518/20757659
bee	milton	17/332927
bee	shakespeare	437/686328
bee	corpus	65595/86396910
doe	country	5314/4791484
doe	europe	31536/53130550
doe	asia	20320/20757659
doe	milton	68/332927
doe	shakespeare	2074/686328
doe	corpus	62147/86396910
world	country	5322/4791484
world	europe	43862/53130550
world	asia	25990/20757659
world	milton	285/332927
world	shakespeare	762/686328
world	corpus	88403/86396910
land	country	5297/4791484
land	europe	31814/53130550
land	asia	26046/20757659
land	milton	218/332927
land	shakespeare	260/686328
land	corpus	75858/86396910
