word	collection	value
christ	country	45/5920
christ	europe	22912/53130550
christ	asia	40222/20757659
christ	milton	85/332927
christ	shakespeare	8/686328
christ	corpus	79618/86396910
god	country	45/5920
god	europe	70256/53130550
god	asia	144408/20757659
god	milton	1015/332927
god	shakespeare	933/686328
god	corpus	273914/86396910
alexander	country	27/5920
alexander	europe	16613/53130550
alexander	asia	5917/20757659
alexander	milton	19/332927
alexander	shakespeare	20/686328
alexander	corpus	25571/86396910
father	country	29/5920
father	europe	38660/53130550
father	asia	17756/20757659
father	milton	219/332927
father	shakespeare	1026/686328
father	corpus	65387/86396910
son	country	26/5920
son	europe	43322/53130550
son	asia	13251/20757659
son	milton	492/332927
son	shakespeare	85/686328
son	corpus	63521/86396910
life	country	24/5920
life	europe	37606/53130550
life	asia	19158/20757659
life	milton	319/332927
life	shakespeare	1059/686328
life	corpus	68751/86396910
prynce	country	9/5920
prynce	europe	294/53130550
prynce	asia	114/20757659
prynce	milton	0
prynce	shakespeare	0
prynce	corpus	447/86396910
participation	country	11/5920
participation	europe	226/53130550
participation	asia	156/20757659
participation	milton	0
participation	shakespeare	3/686328
participation	corpus	460/86396910
church	country	19/5920
church	europe	69388/53130550
church	asia	29208/20757659
church	milton	307/332927
church	shakespeare	98/686328
church	corpus	111163/86396910
edumea	country	3/5920
edumea	europe	0/53130550
edumea	asia	7/20757659
edumea	milton	0
edumea	shakespeare	0
edumea	corpus	7/86396910
