word	collection	value
england	country	14658/2864288
england	europe	79137/53130550
england	asia	7935/20757659
england	milton	268/332927
england	shakespeare	262/686328
england	corpus	92639/86396910
parliament	country	8722/2864288
parliament	europe	31210/53130550
parliament	asia	1710/20757659
parliament	milton	148/332927
parliament	shakespeare	23/686328
parliament	corpus	33989/86396910
lord	country	11356/2864288
lord	europe	59253/53130550
lord	asia	62439/20757659
lord	milton	226/332927
lord	shakespeare	3231/686328
lord	corpus	141816/86396910
irish	country	6067/2864288
irish	europe	10315/53130550
irish	asia	303/20757659
irish	milton	26/332927
irish	shakespeare	11/686328
irish	corpus	10903/86396910
sir	country	6270/2864288
sir	europe	30539/53130550
sir	asia	3551/20757659
sir	milton	35/332927
sir	shakespeare	3014/686328
sir	corpus	36961/86396910
scotland	country	4874/2864288
scotland	europe	25886/53130550
scotland	asia	1233/20757659
scotland	milton	30/332927
scotland	shakespeare	31/686328
scotland	corpus	28031/86396910
english	country	5630/2864288
english	europe	46830/53130550
english	asia	8023/20757659
english	milton	260/332927
english	shakespeare	162/686328
english	corpus	59959/86396910
dublin	country	2700/2864288
dublin	europe	3696/53130550
dublin	asia	70/20757659
dublin	milton	2/332927
dublin	shakespeare	0
dublin	corpus	3798/86396910
kingdom	country	5435/2864288
kingdom	europe	47075/53130550
kingdom	asia	10702/20757659
kingdom	milton	177/332927
kingdom	shakespeare	5/686328
kingdom	corpus	63423/86396910
earl	country	3636/2864288
earl	europe	21229/53130550
earl	asia	691/20757659
earl	milton	77/332927
earl	shakespeare	0
earl	corpus	22432/86396910
