word	collection	value
god	country	111401/8355306
god	europe	70256/53130550
god	asia	144408/20757659
god	milton	1015/332927
god	shakespeare	933/686328
god	corpus	273914/86396910
lord	country	49431/8355306
lord	europe	59253/53130550
lord	asia	62439/20757659
lord	milton	226/332927
lord	shakespeare	3231/686328
lord	corpus	141816/86396910
thy	country	26551/8355306
thy	europe	13406/53130550
thy	asia	34182/20757659
thy	milton	1117/332927
thy	shakespeare	5081/686328
thy	corpus	60836/86396910
thou	country	28131/8355306
thou	europe	18353/53130550
thou	asia	36847/20757659
thou	milton	994/332927
thou	shakespeare	6704/686328
thou	corpus	69121/86396910
christ	country	26959/8355306
christ	europe	22912/53130550
christ	asia	40222/20757659
christ	milton	85/332927
christ	shakespeare	8/686328
christ	corpus	79618/86396910
moses	country	15822/8355306
moses	europe	2192/53130550
moses	asia	18455/20757659
moses	milton	40/332927
moses	shakespeare	0
moses	corpus	30819/86396910
gods	country	18764/8355306
gods	europe	14859/53130550
gods	asia	25373/20757659
gods	milton	182/332927
gods	shakespeare	524/686328
gods	corpus	51767/86396910
covenant	country	12615/8355306
covenant	europe	2659/53130550
covenant	asia	13615/20757659
covenant	milton	10/332927
covenant	shakespeare	2/686328
covenant	corpus	19471/86396910
thee	country	16584/8355306
thee	europe	8453/53130550
thee	asia	21199/20757659
thee	milton	756/332927
thee	shakespeare	3964/686328
thee	corpus	37994/86396910
law	country	15735/8355306
law	europe	32264/53130550
law	asia	22233/20757659
law	milton	412/332927
law	shakespeare	286/686328
law	corpus	63124/86396910
