word	collection	value
pope	country	15803/6668431
pope	europe	70937/53130550
pope	asia	4533/20757659
pope	milton	75/332927
pope	shakespeare	19/686328
pope	corpus	78256/86396910
rome	country	15959/6668431
rome	europe	59689/53130550
rome	asia	8960/20757659
rome	milton	117/332927
rome	shakespeare	332/686328
rome	corpus	74847/86396910
duke	country	11423/6668431
duke	europe	97691/53130550
duke	asia	2931/20757659
duke	milton	147/332927
duke	shakespeare	554/686328
duke	corpus	102038/86396910
france	country	10212/6668431
france	europe	63151/53130550
france	asia	3844/20757659
france	milton	83/332927
france	shakespeare	360/686328
france	corpus	69941/86396910
emperour	country	8452/6668431
emperour	europe	50263/53130550
emperour	asia	7585/20757659
emperour	milton	126/332927
emperour	shakespeare	58/686328
emperour	corpus	61710/86396910
church	country	8618/6668431
church	europe	69388/53130550
church	asia	29208/20757659
church	milton	307/332927
church	shakespeare	98/686328
church	corpus	111163/86396910
city	country	8957/6668431
city	europe	53215/53130550
city	asia	17037/20757659
city	milton	206/332927
city	shakespeare	52/686328
city	corpus	80122/86396910
french	country	9035/6668431
french	europe	71090/53130550
french	asia	3610/20757659
french	milton	52/332927
french	shakespeare	170/686328
french	corpus	77857/86396910
army	country	7691/6668431
army	europe	55091/53130550
army	asia	8134/20757659
army	milton	154/332927
army	shakespeare	67/686328
army	corpus	67382/86396910
princes	country	7711/6668431
princes	europe	63268/53130550
princes	asia	9855/20757659
princes	milton	161/332927
princes	shakespeare	188/686328
princes	corpus	78390/86396910
