word	collection	value
england	country	330/112756
england	north_america	3156/2762132
england	europe	79137/53130550
england	milton	268/332927
england	shakespeare	262/686328
england	corpus	92639/86396910
baron	country	179/112756
baron	north_america	369/2762132
baron	europe	4803/53130550
baron	milton	1/332927
baron	shakespeare	3/686328
baron	corpus	5717/86396910
island	country	272/112756
island	north_america	2283/2762132
island	europe	10806/53130550
island	milton	23/332927
island	shakespeare	24/686328
island	corpus	19906/86396910
esq	country	131/112756
esq	north_america	284/2762132
esq	europe	1810/53130550
esq	milton	1/332927
esq	shakespeare	0
esq	corpus	2731/86396910
spaniards	country	235/112756
spaniards	north_america	5023/2762132
spaniards	europe	21668/53130550
spaniards	milton	10/332927
spaniards	shakespeare	2/686328
spaniards	corpus	34170/86396910
english	country	242/112756
english	north_america	2935/2762132
english	europe	46830/53130550
english	milton	260/332927
english	shakespeare	162/686328
english	corpus	59959/86396910
lord	country	248/112756
lord	north_america	2004/2762132
lord	europe	59253/53130550
lord	milton	226/332927
lord	shakespeare	3231/686328
lord	corpus	141816/86396910
hon	country	119/112756
hon	north_america	246/2762132
hon	europe	673/53130550
hon	milton	0
hon	shakespeare	0
hon	corpus	1262/86396910
god	country	222/112756
god	north_america	5025/2762132
god	europe	70256/53130550
god	milton	1015/332927
god	shakespeare	933/686328
god	corpus	273914/86396910
land	country	203/112756
land	north_america	4743/2762132
land	europe	31814/53130550
land	milton	218/332927
land	shakespeare	260/686328
land	corpus	75858/86396910
