word	collection	value
china	country	330/114203
china	europe	2637/53130550
china	asia	2616/20757659
china	milton	1/332927
china	shakespeare	1/686328
china	corpus	6922/86396910
indies	country	227/114203
indies	europe	6637/53130550
indies	asia	4568/20757659
indies	milton	5/332927
indies	shakespeare	8/686328
indies	corpus	15876/86396910
religion	country	229/114203
religion	europe	49432/53130550
religion	asia	11350/20757659
religion	milton	191/332927
religion	shakespeare	18/686328
religion	corpus	67835/86396910
company	country	217/114203
company	europe	12334/53130550
company	asia	7562/20757659
company	milton	55/332927
company	shakespeare	183/686328
company	corpus	23249/86396910
trade	country	206/114203
trade	europe	17333/53130550
trade	asia	6886/20757659
trade	milton	33/332927
trade	shakespeare	59/686328
trade	corpus	27407/86396910
city	country	207/114203
city	europe	53215/53130550
city	asia	17037/20757659
city	milton	206/332927
city	shakespeare	52/686328
city	corpus	80122/86396910
east	country	231/114203
east	europe	18742/53130550
east	asia	12838/20757659
east	milton	126/332927
east	shakespeare	54/686328
east	corpus	38758/86396910
world	country	189/114203
world	europe	43862/53130550
world	asia	25990/20757659
world	milton	285/332927
world	shakespeare	762/686328
world	corpus	88403/86396910
god	country	181/114203
god	europe	70256/53130550
god	asia	144408/20757659
god	milton	1015/332927
god	shakespeare	933/686328
god	corpus	273914/86396910
country	country	181/114203
country	europe	43101/53130550
country	asia	10529/20757659
country	milton	146/332927
country	shakespeare	89/686328
country	corpus	61953/86396910
