word	collection	value
god	country	3311/491325
god	europe	70256/53130550
god	asia	144408/20757659
god	milton	1015/332927
god	shakespeare	933/686328
god	corpus	273914/86396910
christ	country	1724/491325
christ	europe	22912/53130550
christ	asia	40222/20757659
christ	milton	85/332927
christ	shakespeare	8/686328
christ	corpus	79618/86396910
gent	country	1063/491325
gent	europe	1570/53130550
gent	asia	1205/20757659
gent	milton	0
gent	shakespeare	4/686328
gent	corpus	2864/86396910
lord	country	1521/491325
lord	europe	59253/53130550
lord	asia	62439/20757659
lord	milton	226/332927
lord	shakespeare	3231/686328
lord	corpus	141816/86396910
verse	country	1014/491325
verse	europe	1654/53130550
verse	asia	7955/20757659
verse	milton	34/332927
verse	shakespeare	36/686328
verse	corpus	11369/86396910
john	country	1319/491325
john	europe	20120/53130550
john	asia	4664/20757659
john	milton	66/332927
john	shakespeare	0
john	corpus	27045/86396910
thou	country	1124/491325
thou	europe	18353/53130550
thou	asia	36847/20757659
thou	milton	994/332927
thou	shakespeare	6704/686328
thou	corpus	69121/86396910
land	country	1159/491325
land	europe	31814/53130550
land	asia	26046/20757659
land	milton	218/332927
land	shakespeare	260/686328
land	corpus	75858/86396910
thy	country	900/491325
thy	europe	13406/53130550
thy	asia	34182/20757659
thy	milton	1117/332927
thy	shakespeare	5081/686328
thy	corpus	60836/86396910
israel	country	695/491325
israel	europe	1940/53130550
israel	asia	4153/20757659
israel	milton	61/332927
israel	shakespeare	1/686328
israel	corpus	13810/86396910
