word	collection	value
delcto	country	1/73
delcto	europe	0/53130550
delcto	asia	1/20757659
delcto	milton	0
delcto	shakespeare	0
delcto	corpus	1/86396910
predonance	country	1/73
predonance	europe	0/53130550
predonance	asia	1/20757659
predonance	milton	0
predonance	shakespeare	0
predonance	corpus	1/86396910
tpo	country	1/73
tpo	europe	0/53130550
tpo	asia	1/20757659
tpo	milton	0
tpo	shakespeare	0
tpo	corpus	1/86396910
tripudium	country	1/73
tripudium	europe	6/53130550
tripudium	asia	2/20757659
tripudium	milton	0
tripudium	shakespeare	0
tripudium	corpus	8/86396910
dancing	country	3/73
dancing	europe	705/53130550
dancing	asia	359/20757659
dancing	milton	5/332927
dancing	shakespeare	16/686328
dancing	corpus	1254/86396910
inventresse	country	1/73
inventresse	europe	4/53130550
inventresse	asia	5/20757659
inventresse	milton	0
inventresse	shakespeare	0
inventresse	corpus	9/86396910
muse	country	2/73
muse	europe	252/53130550
muse	asia	87/20757659
muse	milton	33/332927
muse	shakespeare	37/686328
muse	corpus	443/86396910
terpsichore	country	1/73
terpsichore	europe	10/53130550
terpsichore	asia	7/20757659
terpsichore	milton	0
terpsichore	shakespeare	0
terpsichore	corpus	25/86396910
harmonia	country	1/73
harmonia	europe	19/53130550
harmonia	asia	7/20757659
harmonia	milton	0
harmonia	shakespeare	0
harmonia	corpus	32/86396910
coelestiall	country	1/73
coelestiall	europe	46/53130550
coelestiall	asia	26/20757659
coelestiall	milton	0
coelestiall	shakespeare	2/686328
coelestiall	corpus	85/86396910
