word	collection	value
god	country	2197/274610
god	europe	70256/53130550
god	asia	144408/20757659
god	milton	1015/332927
god	shakespeare	933/686328
god	corpus	273914/86396910
christ	country	1201/274610
christ	europe	22912/53130550
christ	asia	40222/20757659
christ	milton	85/332927
christ	shakespeare	8/686328
christ	corpus	79618/86396910
thy	country	1042/274610
thy	europe	13406/53130550
thy	asia	34182/20757659
thy	milton	1117/332927
thy	shakespeare	5081/686328
thy	corpus	60836/86396910
lord	country	1156/274610
lord	europe	59253/53130550
lord	asia	62439/20757659
lord	milton	226/332927
lord	shakespeare	3231/686328
lord	corpus	141816/86396910
thou	country	683/274610
thou	europe	18353/53130550
thou	asia	36847/20757659
thou	milton	994/332927
thou	shakespeare	6704/686328
thou	corpus	69121/86396910
church	country	666/274610
church	europe	69388/53130550
church	asia	29208/20757659
church	milton	307/332927
church	shakespeare	98/686328
church	corpus	111163/86396910
cedars	country	417/274610
cedars	europe	156/53130550
cedars	asia	691/20757659
cedars	milton	4/332927
cedars	shakespeare	4/686328
cedars	corpus	1026/86396910
earth	country	622/274610
earth	europe	14346/53130550
earth	asia	16818/20757659
earth	milton	317/332927
earth	shakespeare	373/686328
earth	corpus	41706/86396910
thee	country	548/274610
thee	europe	8453/53130550
thee	asia	21199/20757659
thee	milton	756/332927
thee	shakespeare	3964/686328
thee	corpus	37994/86396910
sig	country	280/274610
sig	europe	584/53130550
sig	asia	676/20757659
sig	milton	0
sig	shakespeare	0
sig	corpus	1278/86396910
