word	collection	value
abertham	country	4/443
abertham	europe	14/53130550
abertham	africa	4/8599577
abertham	milton	0
abertham	shakespeare	0
abertham	corpus	20/86396910
sabooram	country	2/443
sabooram	europe	0/53130550
sabooram	africa	2/8599577
sabooram	milton	0
sabooram	shakespeare	0
sabooram	corpus	2/86396910
schneberg	country	3/443
schneberg	europe	14/53130550
schneberg	africa	3/8599577
schneberg	milton	0
schneberg	shakespeare	0
schneberg	corpus	18/86396910
talents	country	6/443
talents	europe	1151/53130550
talents	africa	341/8599577
talents	milton	1/332927
talents	shakespeare	17/686328
talents	corpus	2333/86396910
sanguis	country	5/443
sanguis	europe	111/53130550
sanguis	africa	56/8599577
sanguis	milton	1/332927
sanguis	shakespeare	1/686328
sanguis	corpus	275/86396910
digged	country	7/443
digged	europe	666/53130550
digged	africa	189/8599577
digged	milton	0
digged	shakespeare	0
digged	corpus	1407/86396910
grove	country	5/443
grove	europe	356/53130550
grove	africa	40/8599577
grove	milton	25/332927
grove	shakespeare	4/686328
grove	corpus	565/86396910
mass	country	6/443
mass	europe	2056/53130550
mass	africa	137/8599577
mass	milton	6/332927
mass	shakespeare	0
mass	corpus	2678/86396910
agricola	country	4/443
agricola	europe	525/53130550
agricola	africa	32/8599577
agricola	milton	18/332927
agricola	shakespeare	0
agricola	corpus	676/86396910
praevenisti	country	1/443
praevenisti	europe	0/53130550
praevenisti	africa	1/8599577
praevenisti	milton	0
praevenisti	shakespeare	0
praevenisti	corpus	1/86396910
