word	collection	value
bishop	country	452/276180
bishop	europe	37406/53130550
bishop	africa	3157/8599577
bishop	milton	80/332927
bishop	shakespeare	27/686328
bishop	corpus	47029/86396910
abque	country	399/276180
abque	europe	3813/53130550
abque	africa	1385/8599577
abque	milton	17/332927
abque	shakespeare	0
abque	corpus	8424/86396910
est	country	441/276180
est	europe	11049/53130550
est	africa	5046/8599577
est	milton	145/332927
est	shakespeare	17/686328
est	corpus	25079/86396910
god	country	521/276180
god	europe	70256/53130550
god	africa	52719/8599577
god	milton	1015/332927
god	shakespeare	933/686328
god	corpus	273914/86396910
alexandria	country	310/276180
alexandria	europe	3236/53130550
alexandria	africa	2332/8599577
alexandria	milton	6/332927
alexandria	shakespeare	5/686328
alexandria	corpus	7681/86396910
sea	country	508/276180
sea	europe	55791/53130550
sea	africa	11679/8599577
sea	milton	240/332927
sea	shakespeare	328/686328
sea	corpus	100931/86396910
egypt	country	357/276180
egypt	europe	5154/53130550
egypt	africa	1921/8599577
egypt	milton	23/332927
egypt	shakespeare	41/686328
egypt	corpus	17952/86396910
cum	country	315/276180
cum	europe	4778/53130550
cum	africa	1745/8599577
cum	milton	93/332927
cum	shakespeare	2/686328
cum	corpus	10779/86396910
vales	country	198/276180
vales	europe	723/53130550
vales	africa	790/8599577
vales	milton	6/332927
vales	shakespeare	1/686328
vales	corpus	2652/86396910
whiche	country	287/276180
whiche	europe	11248/53130550
whiche	africa	3096/8599577
whiche	milton	0
whiche	shakespeare	0
whiche	corpus	21205/86396910
