word	collection	value
poland	country	655/109994
poland	europe	8769/53130550
poland	asia	1335/20757659
poland	milton	10/332927
poland	shakespeare	3/686328
poland	corpus	10342/86396910
duke	country	366/109994
duke	europe	97691/53130550
duke	asia	2931/20757659
duke	milton	147/332927
duke	shakespeare	554/686328
duke	corpus	102038/86396910
prussia	country	166/109994
prussia	europe	1856/53130550
prussia	asia	304/20757659
prussia	milton	4/332927
prussia	shakespeare	0
prussia	corpus	2215/86396910
poles	country	186/109994
poles	europe	2403/53130550
poles	asia	523/20757659
poles	milton	12/332927
poles	shakespeare	1/686328
poles	corpus	3244/86396910
city	country	237/109994
city	europe	53215/53130550
city	asia	17037/20757659
city	milton	206/332927
city	shakespeare	52/686328
city	corpus	80122/86396910
prince	country	223/109994
prince	europe	82012/53130550
prince	asia	11570/20757659
prince	milton	235/332927
prince	shakespeare	499/686328
prince	corpus	101455/86396910
vilna	country	68/109994
vilna	europe	176/53130550
vilna	asia	35/20757659
vilna	milton	0
vilna	shakespeare	0
vilna	corpus	211/86396910
tartars	country	155/109994
tartars	europe	3417/53130550
tartars	asia	3020/20757659
tartars	milton	11/332927
tartars	shakespeare	6/686328
tartars	corpus	6890/86396910
russia	country	148/109994
russia	europe	2986/53130550
russia	asia	382/20757659
russia	milton	24/332927
russia	shakespeare	4/686328
russia	corpus	3610/86396910
army	country	186/109994
army	europe	55091/53130550
army	asia	8134/20757659
army	milton	154/332927
army	shakespeare	67/686328
army	corpus	67382/86396910
