word	collection	value
duke	country	833/113497
duke	europe	97691/53130550
duke	asia	2931/20757659
duke	milton	147/332927
duke	shakespeare	554/686328
duke	corpus	102038/86396910
prince	country	415/113497
prince	europe	82012/53130550
prince	asia	11570/20757659
prince	milton	235/332927
prince	shakespeare	499/686328
prince	corpus	101455/86396910
earle	country	272/113497
earle	europe	21458/53130550
earle	asia	579/20757659
earle	milton	1/332927
earle	shakespeare	105/686328
earle	corpus	22689/86396910
bourgongne	country	110/113497
bourgongne	europe	929/53130550
bourgongne	asia	1/20757659
bourgongne	milton	0
bourgongne	shakespeare	0
bourgongne	corpus	932/86396910
charles	country	263/113497
charles	europe	34849/53130550
charles	asia	1613/20757659
charles	milton	92/332927
charles	shakespeare	54/686328
charles	corpus	37701/86396910
french	country	315/113497
french	europe	71090/53130550
french	asia	3610/20757659
french	milton	52/332927
french	shakespeare	170/686328
french	corpus	77857/86396910
france	country	289/113497
france	europe	63151/53130550
france	asia	3844/20757659
france	milton	83/332927
france	shakespeare	360/686328
france	corpus	69941/86396910
turenne	country	90/113497
turenne	europe	1623/53130550
turenne	asia	0/20757659
turenne	milton	0
turenne	shakespeare	0
turenne	corpus	1623/86396910
brabant	country	159/113497
brabant	europe	3028/53130550
brabant	asia	71/20757659
brabant	milton	0
brabant	shakespeare	5/686328
brabant	corpus	3157/86396910
hauing	country	204/113497
hauing	europe	23526/53130550
hauing	asia	7651/20757659
hauing	milton	0
hauing	shakespeare	181/686328
hauing	corpus	35790/86396910
