word	collection	value
alexander	country	4721/2280492
alexander	europe	16613/53130550
alexander	asia	5917/20757659
alexander	milton	19/332927
alexander	shakespeare	20/686328
alexander	corpus	25571/86396910
god	country	4608/2280492
god	europe	70256/53130550
god	asia	144408/20757659
god	milton	1015/332927
god	shakespeare	933/686328
god	corpus	273914/86396910
rome	country	3340/2280492
rome	europe	59689/53130550
rome	asia	8960/20757659
rome	milton	117/332927
rome	shakespeare	332/686328
rome	corpus	74847/86396910
death	country	2968/2280492
death	europe	50639/53130550
death	asia	20457/20757659
death	milton	412/332927
death	shakespeare	1069/686328
death	corpus	82622/86396910
himselfe	country	2672/2280492
himselfe	europe	36997/53130550
himselfe	asia	14110/20757659
himselfe	milton	28/332927
himselfe	shakespeare	551/686328
himselfe	corpus	59839/86396910
city	country	2790/2280492
city	europe	53215/53130550
city	asia	17037/20757659
city	milton	206/332927
city	shakespeare	52/686328
city	corpus	80122/86396910
romans	country	2049/2280492
romans	europe	18775/53130550
romans	asia	4046/20757659
romans	milton	98/332927
romans	shakespeare	45/686328
romans	corpus	25303/86396910
philip	country	2199/2280492
philip	europe	23144/53130550
philip	asia	2057/20757659
philip	milton	25/332927
philip	shakespeare	14/686328
philip	corpus	26427/86396910
onely	country	2472/2280492
onely	europe	42959/53130550
onely	asia	19773/20757659
onely	milton	134/332927
onely	shakespeare	356/686328
onely	corpus	74257/86396910
church	country	2340/2280492
church	europe	69388/53130550
church	asia	29208/20757659
church	milton	307/332927
church	shakespeare	98/686328
church	corpus	111163/86396910
