word	collection	value
island	country	299/65861
island	europe	10806/53130550
island	africa	2029/8599577
island	milton	23/332927
island	shakespeare	24/686328
island	corpus	19906/86396910
sea	country	268/65861
sea	europe	55791/53130550
sea	africa	11679/8599577
sea	milton	240/332927
sea	shakespeare	328/686328
sea	corpus	100931/86396910
india	country	201/65861
india	europe	5893/53130550
india	africa	1826/8599577
india	milton	8/332927
india	shakespeare	12/686328
india	corpus	11293/86396910
cape	country	150/65861
cape	europe	2670/53130550
cape	africa	1379/8599577
cape	milton	8/332927
cape	shakespeare	8/686328
cape	corpus	8390/86396910
ships	country	135/65861
ships	europe	20886/53130550
ships	africa	1742/8599577
ships	milton	141/332927
ships	shakespeare	33/686328
ships	corpus	33431/86396910
ship	country	130/65861
ship	europe	10298/53130550
ship	africa	1791/8599577
ship	milton	102/332927
ship	shakespeare	83/686328
ship	corpus	19340/86396910
east	country	147/65861
east	europe	18742/53130550
east	africa	3510/8599577
east	milton	126/332927
east	shakespeare	54/686328
east	corpus	38758/86396910
coast	country	126/65861
coast	europe	8208/53130550
coast	africa	2153/8599577
coast	milton	51/332927
coast	shakespeare	29/686328
coast	corpus	18347/86396910
chapter	country	94/65861
chapter	europe	4613/53130550
chapter	africa	1889/8599577
chapter	milton	28/332927
chapter	shakespeare	1/686328
chapter	corpus	12824/86396910
islands	country	108/65861
islands	europe	6193/53130550
islands	africa	1079/8599577
islands	milton	9/332927
islands	shakespeare	5/686328
islands	corpus	12587/86396910
