word	collection	value
god	country	4306/768322
god	europe	70256/53130550
god	africa	52719/8599577
god	milton	1015/332927
god	shakespeare	933/686328
god	corpus	273914/86396910
est	country	2289/768322
est	europe	11049/53130550
est	africa	5046/8599577
est	milton	145/332927
est	shakespeare	17/686328
est	corpus	25079/86396910
quod	country	1324/768322
quod	europe	5017/53130550
quod	africa	2487/8599577
quod	milton	31/332927
quod	shakespeare	1/686328
quod	corpus	11653/86396910
christ	country	1470/768322
christ	europe	22912/53130550
christ	africa	14446/8599577
christ	milton	85/332927
christ	shakespeare	8/686328
christ	corpus	79618/86396910
church	country	1351/768322
church	europe	69388/53130550
church	africa	10146/8599577
church	milton	307/332927
church	shakespeare	98/686328
church	corpus	111163/86396910
sed	country	914/768322
sed	europe	3692/53130550
sed	africa	1917/8599577
sed	milton	39/332927
sed	shakespeare	16/686328
sed	corpus	9023/86396910
qui	country	978/768322
qui	europe	7357/53130550
qui	africa	2343/8599577
qui	milton	88/332927
qui	shakespeare	4/686328
qui	corpus	14465/86396910
sin	country	915/768322
sin	europe	2943/53130550
sin	africa	3682/8599577
sin	milton	94/332927
sin	shakespeare	55/686328
sin	corpus	16274/86396910
world	country	1207/768322
world	europe	43862/53130550
world	africa	12266/8599577
world	milton	285/332927
world	shakespeare	762/686328
world	corpus	88403/86396910
thy	country	812/768322
thy	europe	13406/53130550
thy	africa	12072/8599577
thy	milton	1117/332927
thy	shakespeare	5081/686328
thy	corpus	60836/86396910
