word	collection	value
sea	country	776/379180
sea	europe	55791/53130550
sea	africa	11679/8599577
sea	milton	240/332927
sea	shakespeare	328/686328
sea	corpus	100931/86396910
est	country	536/379180
est	europe	11049/53130550
est	africa	5046/8599577
est	milton	145/332927
est	shakespeare	17/686328
est	corpus	25079/86396910
rome	country	532/379180
rome	europe	59689/53130550
rome	africa	5221/8599577
rome	milton	117/332927
rome	shakespeare	332/686328
rome	corpus	74847/86396910
caesar	country	437/379180
caesar	europe	16959/53130550
caesar	africa	2544/8599577
caesar	milton	105/332927
caesar	shakespeare	540/686328
caesar	corpus	23782/86396910
prince	country	522/379180
prince	europe	82012/53130550
prince	africa	6196/8599577
prince	milton	235/332927
prince	shakespeare	499/686328
prince	corpus	101455/86396910
coriolanus	country	203/379180
coriolanus	europe	207/53130550
coriolanus	africa	259/8599577
coriolanus	milton	0
coriolanus	shakespeare	33/686328
coriolanus	corpus	483/86396910
himselfe	country	474/379180
himselfe	europe	36997/53130550
himselfe	africa	6808/8599577
himselfe	milton	28/332927
himselfe	shakespeare	551/686328
himselfe	corpus	59839/86396910
cleopatra	country	255/379180
cleopatra	europe	1924/53130550
cleopatra	africa	1218/8599577
cleopatra	milton	0
cleopatra	shakespeare	33/686328
cleopatra	corpus	4035/86396910
church	country	437/379180
church	europe	69388/53130550
church	africa	10146/8599577
church	milton	307/332927
church	shakespeare	98/686328
church	corpus	111163/86396910
thou	country	387/379180
thou	europe	18353/53130550
thou	africa	12669/8599577
thou	milton	994/332927
thou	shakespeare	6704/686328
thou	corpus	69121/86396910
