word	collection	value
spaniards	country	1274/542166
spaniards	north_america	5023/2762132
spaniards	europe	21668/53130550
spaniards	milton	10/332927
spaniards	shakespeare	2/686328
spaniards	corpus	34170/86396910
chap	country	1178/542166
chap	north_america	4499/2762132
chap	europe	20161/53130550
chap	milton	42/332927
chap	shakespeare	0
chap	corpus	51940/86396910
indians	country	1015/542166
indians	north_america	3886/2762132
indians	europe	3583/53130550
indians	milton	2/332927
indians	shakespeare	0
indians	corpus	11134/86396910
sea	country	1176/542166
sea	north_america	7508/2762132
sea	europe	55791/53130550
sea	milton	240/332927
sea	shakespeare	328/686328
sea	corpus	100931/86396910
zelmatida	country	313/542166
zelmatida	north_america	437/2762132
zelmatida	europe	34/53130550
zelmatida	milton	0
zelmatida	shakespeare	0
zelmatida	corpus	779/86396910
leagues	country	812/542166
leagues	north_america	3471/2762132
leagues	europe	6878/53130550
leagues	milton	19/332927
leagues	shakespeare	14/686328
leagues	corpus	16989/86396910
god	country	919/542166
god	north_america	5025/2762132
god	europe	70256/53130550
god	milton	1015/332927
god	shakespeare	933/686328
god	corpus	273914/86396910
peru	country	669/542166
peru	north_america	2113/2762132
peru	europe	1225/53130550
peru	milton	1/332927
peru	shakespeare	0
peru	corpus	5472/86396910
land	country	805/542166
land	north_america	4743/2762132
land	europe	31814/53130550
land	milton	218/332927
land	shakespeare	260/686328
land	corpus	75858/86396910
city	country	715/542166
city	north_america	2550/2762132
city	europe	53215/53130550
city	milton	206/332927
city	shakespeare	52/686328
city	corpus	80122/86396910
