word	collection	value
horse	country	67/11568
horse	europe	26425/53130550
horse	asia	4546/20757659
horse	milton	77/332927
horse	shakespeare	282/686328
horse	corpus	34138/86396910
duke	country	51/11568
duke	europe	97691/53130550
duke	asia	2931/20757659
duke	milton	147/332927
duke	shakespeare	554/686328
duke	corpus	102038/86396910
casalle	country	13/11568
casalle	europe	510/53130550
casalle	asia	0/20757659
casalle	milton	0
casalle	shakespeare	0
casalle	corpus	510/86396910
foot	country	47/11568
foot	europe	20103/53130550
foot	asia	4474/20757659
foot	milton	77/332927
foot	shakespeare	140/686328
foot	corpus	27751/86396910
portacarrero	country	9/11568
portacarrero	europe	32/53130550
portacarrero	asia	0/20757659
portacarrero	milton	0
portacarrero	shakespeare	0
portacarrero	corpus	32/86396910
army	country	39/11568
army	europe	55091/53130550
army	asia	8134/20757659
army	milton	154/332927
army	shakespeare	67/686328
army	corpus	67382/86396910
marquiss	country	19/11568
marquiss	europe	828/53130550
marquiss	asia	9/20757659
marquiss	milton	2/332927
marquiss	shakespeare	0
marquiss	corpus	865/86396910
french	country	36/11568
french	europe	71090/53130550
french	asia	3610/20757659
french	milton	52/332927
french	shakespeare	170/686328
french	corpus	77857/86396910
don	country	30/11568
don	europe	15174/53130550
don	asia	2098/20757659
don	milton	60/332927
don	shakespeare	49/686328
don	corpus	19640/86396910
town	country	32/11568
town	europe	25506/53130550
town	asia	3794/20757659
town	milton	72/332927
town	shakespeare	7/686328
town	corpus	32475/86396910
