word	collection	value
polexander	country	729/289386
polexander	europe	634/53130550
polexander	africa	1644/8599577
polexander	milton	0
polexander	shakespeare	0
polexander	corpus	2662/86396910
prince	country	757/289386
prince	europe	82012/53130550
prince	africa	6196/8599577
prince	milton	235/332927
prince	shakespeare	499/686328
prince	corpus	101455/86396910
almanzor	country	265/289386
almanzor	europe	348/53130550
almanzor	africa	1299/8599577
almanzor	milton	0
almanzor	shakespeare	0
almanzor	corpus	1712/86396910
alcidiana	country	228/289386
alcidiana	europe	398/53130550
alcidiana	africa	390/8599577
alcidiana	milton	0
alcidiana	shakespeare	0
alcidiana	corpus	891/86396910
himselfe	country	584/289386
himselfe	europe	36997/53130550
himselfe	africa	6808/8599577
himselfe	milton	28/332927
himselfe	shakespeare	551/686328
himselfe	corpus	59839/86396910
selfe	country	601/289386
selfe	europe	24284/53130550
selfe	africa	5640/8599577
selfe	milton	33/332927
selfe	shakespeare	1956/686328
selfe	corpus	42136/86396910
iphidamantus	country	171/289386
iphidamantus	europe	114/53130550
iphidamantus	africa	331/8599577
iphidamantus	milton	0
iphidamantus	shakespeare	0
iphidamantus	corpus	493/86396910
chap	country	451/289386
chap	europe	20161/53130550
chap	africa	7100/8599577
chap	milton	42/332927
chap	shakespeare	0
chap	corpus	51940/86396910
love	country	438/289386
love	europe	14214/53130550
love	africa	4507/8599577
love	milton	232/332927
love	shakespeare	308/686328
love	corpus	27385/86396910
eolinda	country	81/289386
eolinda	europe	81/53130550
eolinda	africa	81/8599577
eolinda	milton	0
eolinda	shakespeare	0
eolinda	corpus	162/86396910
